,Object name,Astrometric RA (hh:mm:ss),"Astrometric Dec (dd mm'ss"")","Dist. from center RA ("")","Dist. from center Dec ("")","Dist. from center Norm ("")",Visual magnitude (V),"RA rate (""/h)","Dec rate (""/h)",ra,dec,V_mag,name_x,id_x,Absolute magntiude (H),Magnitude slope (G),Eccentricity,Perihelion (au),Time of perihelion passage (JD),Longitude of ascending node (deg),Argument of perihelion (deg),Inclination (deg),Epoch (JD),H_mag,name_y,id_y
0,620 Drakonia (A906 UO),17:49:08.50,-29:33:27.8,-489.,-2.E3,2433.,16.1,60.09,-5.175,267.2854166666666,-29.557722222222225,16.1,620 Drakonia,A906 UO,11.00,0.15,0.134558452,2.1086995,2460346.42220,359.91785,336.71044,7.7338429,2460600.5,11.00,620 Drakonia,A906 UO
1,3446 Combes (1942 EB),17:50:52.95,-27:08:28.1,882.,6.E3,6379.,18.8,52.52,-5.352,267.720625,-27.14113888888889,18.8,3446 Combes,1942 EB,13.54,0.15,0.158394595,1.9994358,2461071.65007,34.632565,95.638537,7.6802637,2460600.5,13.54,3446 Combes,1942 EB
2,9652 (1996 AF2),17:48:17.38,-28:19:33.6,-1.E3,2.E3,2358.,18.1,68.16,-1.856,267.07241666666664,-28.326,18.1,9652,1996 AF2,13.47,0.15,0.16817653,2.0098408,2459964.05710,318.96165,243.38344,5.9699636,2460600.5,13.47,9652,1996 AF2
3,12723 (1991 PD10),17:50:14.39,-29:38:34.9,376.,-3.E3,2717.,19.3,55.89,-2.928,267.55995833333327,-29.643027777777778,19.3,12723,1991 PD10,14.05,0.15,0.039980729,2.2738656,2460879.58836,331.97091,119.95944,7.2703762,2460600.5,14.05,12723,1991 PD10
4,14501 Tetsuokojima (1995 WA8),17:48:41.41,-27:37:51.1,-845.,5.E3,4632.,20.5,54.71,-3.473,267.17254166666663,-27.630861111111113,20.5,14501 Tetsuokojima,1995 WA8,15.30,0.15,0.144379529,1.8866754,2460732.17059,0.43769231,39.850922,5.2941049,2460600.5,15.30,14501 Tetsuokojima,1995 WA8
5,24109 (1999 VO20),17:48:39.96,-30:00:40.5,-864.,-4.E3,4107.,19.3,45.96,1.933,267.1665,-30.01125,19.3,24109,1999 VO20,13.61,0.15,0.100260257,2.3230581,2460704.49108,281.73093,150.24157,14.30826,2460600.5,13.61,24109,1999 VO20
6,30093 McClanahan (2000 ES135),17:50:12.33,-28:30:59.4,349.,1.E3,1409.,19.3,65.18,-10.36,267.55137499999995,-28.5165,19.3,30093 McClanahan,2000 ES135,14.31,0.15,0.283323008,1.9090003,2460069.75500,40.224860,283.50512,13.207549,2460600.5,14.31,30093 McClanahan,2000 ES135
7,34894 (2012 P-L),17:50:23.19,-30:22:47.7,492.,-5.E3,5366.,21.3,43.25,-4.006,267.59662499999996,-30.379916666666666,21.3,34894,2012 P-L,15.29,0.15,0.307340278,1.8862008,2460260.82870,356.41507,26.125036,8.1779892,2460600.5,15.29,34894,2012 P-L
8,36752 (2000 RZ69),17:49:38.67,-29:10:06.8,-93.2,-983.,987.0,20.5,50.82,-5.641,267.41112499999997,-29.168555555555557,20.5,36752,2000 RZ69,14.88,0.15,0.110166162,2.4693632,2460131.95920,19.881073,321.84179,8.5807532,2460600.5,14.88,36752,2000 RZ69
9,37488 (3203 T-1),17:50:01.34,-27:36:44.5,205.,5.E3,4624.,21.0,57.34,-3.11,267.5055833333333,-27.612361111111113,21.0,37488,3203 T-1,15.88,0.15,0.084125588,2.0936245,2461061.32230,352.38734,135.45893,5.0636124,2460600.5,15.88,37488,3203 T-1
10,41516 (2000 QN181),17:48:30.24,-28:45:46.8,-992.,477.,1101.,19.9,47.59,-8.774,267.12600000000003,-28.763,19.9,41516,2000 QN181,14.32,0.15,0.12580946,2.2371912,2460968.04791,43.541292,78.813949,13.732687,2460600.5,14.32,41516,2000 QN181
11,44636 (1999 RQ103),17:49:02.94,-27:24:47.6,-562.,5.E3,5367.,20.3,59.32,0.01595,267.26224999999994,-27.41322222222222,20.3,44636,1999 RQ103,15.20,0.15,0.133811813,2.0092065,2460496.20950,297.62856,58.196446,6.0210618,2460600.5,15.20,44636,1999 RQ103
12,45807 (2000 QY20),17:51:10.78,-28:44:40.0,1.E3,544.,1243.,20.6,60.14,-2.51,267.79491666666667,-28.744444444444447,20.6,45807,2000 QY20,15.54,0.15,0.110600057,2.0159836,2460560.53260,333.65443,28.728909,6.2284196,2460600.5,15.54,45807,2000 QY20
13,47973 (2000 VL46),17:48:28.79,-27:52:25.7,-1.E3,4.E3,3816.,20.4,67.78,-1.73,267.11995833333333,-27.873805555555556,20.4,47973,2000 VL46,15.66,0.15,0.150542972,1.9392761,2460406.34100,321.05713,2.0096301,5.3777501,2460600.5,15.66,47973,2000 VL46
14,51474 (2001 FG55),17:49:43.10,-27:56:15.0,-34.9,3.E3,3449.,20.0,71.04,-3.087,267.4295833333333,-27.9375,20.0,51474,2001 FG55,15.45,0.15,0.166928765,1.9768389,2460024.60470,339.51504,230.23537,5.3598345,2460600.5,15.45,51474,2001 FG55
15,52982 Marieclaire (1998 UY15),17:48:56.38,-27:28:11.6,-648.,5.E3,5174.,20.7,60.77,-5.041,267.23491666666666,-27.46988888888889,20.7,52982 Marieclaire,1998 UY15,15.61,0.15,0.24728364,1.7895825,2460392.70360,22.130889,329.06408,6.6733891,2460600.5,15.61,52982 Marieclaire,1998 UY15
16,54450 (2000 NT10),17:50:46.47,-30:26:45.5,797.,-6.E3,5637.,20.2,58.67,-5.201,267.69362499999994,-30.445972222222224,20.2,54450,2000 NT10,15.02,0.15,0.106451904,2.4533306,2459812.07900,355.47458,259.19738,8.5369586,2460600.5,15.02,54450,2000 NT10
17,56576 (2000 JB25),17:49:36.58,-28:00:25.1,-121.,3.E3,3201.,20.4,65.22,-0.2676,267.4024166666666,-28.006972222222224,20.4,56576,2000 JB25,15.46,0.15,0.12614717,2.1261126,2460240.15310,303.93108,359.27747,6.3236558,2460600.5,15.46,56576,2000 JB25
18,58327 (1994 SC9),17:50:38.83,-27:16:57.3,697.,6.E3,5849.,20.7,45.27,-2.869,267.66179166666666,-27.28258333333333,20.7,58327,1994 SC9,14.72,0.15,0.080353481,2.9504837,2461214.82212,10.514712,194.49568,5.0144815,2460600.5,14.72,58327,1994 SC9
19,69210 (3356 T-2),17:50:26.24,-27:01:16.8,532.,7.E3,6769.,21.1,36.37,-2.349,267.6093333333333,-27.02133333333333,21.1,69210,3356 T-2,14.83,0.15,0.309027707,1.8119349,2460850.32737,13.209118,83.452462,4.6993733,2460600.5,14.83,69210,3356 T-2
20,74309 (1998 TF32),17:49:45.02,-30:39:00.2,-9.69,-6.E3,6316.,20.5,55.46,-7.581,267.4375833333333,-30.650055555555554,20.5,74309,1998 TF32,15.12,0.15,0.180621669,2.1429539,2460224.04260,19.300385,324.76983,10.94372,2460600.5,15.12,74309,1998 TF32
21,75532 (1999 XN220),17:50:18.25,-29:14:15.0,427.,-1.E3,1302.,21.5,54.72,-2.899,267.57604166666664,-29.2375,21.5,75532,1999 XN220,16.22,0.15,0.1162144,2.0768484,2460586.12517,336.14439,46.296887,6.750338,2460600.5,16.22,75532,1999 XN220
22,80152 (1999 TF195),17:49:58.41,-26:58:23.8,166.,7.E3,6922.,21.2,59.4,-3.944,267.49337499999996,-26.973277777777778,21.2,80152,1999 TF195,16.22,0.15,0.065840511,2.0248855,2460927.03715,14.469233,68.548163,5.2526093,2460600.5,16.22,80152,1999 TF195
23,82387 (2001 MW24),17:51:04.38,-30:13:31.3,1.E3,-5.E3,4896.,20.3,47.26,-0.09609,267.76825,-30.22536111111111,20.3,82387,2001 MW24,14.58,0.15,0.187573105,2.1704709,2460317.40010,298.12852,76.052246,10.62507,2460600.5,14.58,82387,2001 MW24
24,82964 (2001 QL131),17:51:05.66,-29:28:29.3,1.E3,-2.E3,2333.,20.6,44.05,-0.7417,267.7735833333333,-29.474805555555555,20.6,82964,2001 QL131,14.52,0.15,0.105267538,2.7251719,2460008.10810,306.71294,49.809393,8.4778715,2460600.5,14.52,82964,2001 QL131
25,85194 (1991 TL2),17:49:25.24,-29:31:55.5,-269.,-2.E3,2307.,19.6,63.52,4.896,267.35516666666666,-29.532083333333333,19.6,85194,1991 TL2,14.55,0.15,0.329469438,1.8332543,2460015.37520,275.13489,53.454245,14.742784,2460600.5,14.55,85194,1991 TL2
26,89887 (2002 CD238),17:51:05.16,-28:01:48.0,1.E3,3.E3,3287.,20.8,45.65,-0.5269,267.7715,-28.029999999999998,20.8,89887,2002 CD238,14.86,0.15,0.242831022,2.1092837,2460193.04410,305.87459,65.537631,6.5070865,2460600.5,14.86,89887,2002 CD238
27,97181 (1999 VV228),17:49:56.12,-29:30:35.0,136.,-2.E3,2215.,21.2,49.79,-0.7146,267.4838333333333,-29.509722222222223,21.2,97181,1999 VV228,15.62,0.15,0.077875659,2.371767,2460521.66415,304.30744,89.056924,8.6081133,2460600.5,15.62,97181,1999 VV228
28,98120 (2000 SK5),17:50:15.15,-28:14:58.0,386.,2.E3,2358.,20.9,63.82,-4.842,267.56312499999996,-28.249444444444446,20.9,98120,2000 SK5,15.93,0.15,0.133065994,1.9685862,2460477.97120,7.9099209,333.86532,6.6291091,2460600.5,15.93,98120,2000 SK5
29,102111 (1999 RQ167),17:49:19.36,-27:19:01.5,-347.,6.E3,5693.,20.9,47.06,-3.682,267.3306666666666,-27.317083333333333,20.9,102111,1999 RQ167,15.29,0.15,0.190673813,1.8893379,2460744.02263,20.182011,39.629885,5.8466843,2460600.5,15.29,102111,1999 RQ167
30,102123 (1999 RP175),17:49:35.45,-28:27:34.6,-135.,2.E3,1576.,20.6,46.79,-2.426,267.3977083333333,-28.459611111111112,20.6,102123,1999 RP175,14.66,0.15,0.105418978,2.8655056,2459619.29470,340.70368,325.25977,5.7574833,2460600.5,14.66,102123,1999 RP175
31,110072 (2001 SB112),17:48:55.71,-29:13:01.0,-657.,-1.E3,1330.,21.1,41.51,-2.805,267.23212499999994,-29.216944444444444,21.1,110072,2001 SB112,15.10,0.15,0.2490592,1.84877,2460672.50208,339.59340,80.597679,6.6097545,2460600.5,15.10,110072,2001 SB112
32,115417 (2003 SR299),17:51:01.11,-27:28:42.1,990.,5.E3,5199.,21.0,51.39,3.456,267.754625,-27.47836111111111,21.0,115417,2003 SR299,15.56,0.15,0.140847418,1.9990193,2460670.62547,272.16634,128.77326,12.026631,2460600.5,15.56,115417,2003 SR299
33,121410 (1999 TH141),17:49:56.75,-27:40:34.1,144.,4.E3,4393.,22.0,40.82,-3.618,267.4864583333333,-27.67613888888889,22.0,121410,1999 TH141,15.83,0.15,0.111754475,2.5556251,2460650.63627,24.352802,63.286980,6.4644318,2460600.5,15.83,121410,1999 TH141
34,126937 (2002 EZ152),17:49:34.64,-28:36:20.1,-146.,1.E3,1054.,20.8,46.86,1.503,267.3943333333333,-28.605583333333335,20.8,126937,2002 EZ152,15.08,0.15,0.127991348,2.478694,2461063.03645,284.03947,231.93066,10.705178,2460600.5,15.08,126937,2002 EZ152
35,127805 (2003 FE81),17:49:20.53,-27:39:12.9,-331.,4.E3,4484.,20.3,63.79,-10.07,267.33554166666664,-27.653583333333334,20.3,127805,2003 FE81,15.35,0.15,0.183804458,2.2776995,2459833.25800,43.369621,229.83071,12.376925,2460600.5,15.35,127805,2003 FE81
36,128549 (2004 PZ72),17:50:47.12,-28:34:33.0,806.,1.E3,1406.,21.0,56.63,-2.323,267.69633333333326,-28.575833333333332,21.0,128549,2004 PZ72,15.75,0.15,0.162023195,2.0646358,2460378.17660,333.55018,20.127457,6.0056636,2460600.5,15.75,128549,2004 PZ72
37,131566 (2001 VM52),17:50:46.56,-28:29:50.6,798.,1.E3,1642.,21.7,58.68,-5.747,267.69399999999996,-28.49738888888889,21.7,131566,2001 VM52,16.67,0.15,0.056316489,2.1125013,2460980.03976,17.252555,87.800227,7.727964,2460600.5,16.67,131566,2001 VM52
38,134626 (1999 TM274),17:48:36.47,-28:24:21.8,-910.,2.E3,1984.,21.5,57.07,-1.752,267.1519583333333,-28.406055555555554,21.5,134626,1999 TM274,16.26,0.15,0.142824975,1.9848542,2460540.18181,319.51764,48.307591,6.088477,2460600.5,16.26,134626,1999 TM274
39,135111 (2001 QV112),17:48:49.95,-28:09:34.9,-733.,3.E3,2750.,20.4,42.69,0.8746,267.20812499999994,-28.159694444444444,20.4,135111,2001 QV112,14.36,0.15,0.034169886,2.9705699,2460149.05420,286.22022,90.810308,9.5472756,2460600.5,14.36,135111,2001 QV112
40,139415 (2001 OH18),17:49:40.81,-29:00:55.8,-65.0,-432.,436.5,20.6,50.6,2.137,267.42004166666663,-29.0155,20.6,139415,2001 OH18,15.06,0.15,0.143815202,2.2855065,2460258.04010,281.69313,74.263523,12.10063,2460600.5,15.06,139415,2001 OH18
41,141321 (2001 YL130),17:49:46.66,-27:44:23.4,11.8,4.E3,4161.,22.4,35.72,-2.291,267.4444166666666,-27.739833333333333,22.4,141321,2001 YL130,15.82,0.15,0.137834179,2.766642,2460647.31191,358.63565,108.45758,5.0176717,2460600.5,15.82,141321,2001 YL130
42,141908 (2002 PC77),17:51:02.41,-28:20:12.3,1.E3,2.E3,2251.,21.4,69.4,-4.517,267.76004166666667,-28.33675,21.4,141908,2002 PC77,16.64,0.15,0.119358978,2.0609141,2460271.11290,359.64796,290.19468,6.3528821,2460600.5,16.64,141908,2002 PC77
43,146728 (2001 XU36),17:48:19.38,-28:45:02.5,-1.E3,522.,1249.,22.0,40.01,-5.236,267.08075,-28.750694444444445,22.0,146728,2001 XU36,15.94,0.15,0.237078332,2.133634,2460945.65257,29.368536,93.208900,8.9361387,2460600.5,15.94,146728,2001 XU36
44,146767 (2001 XC202),17:50:19.33,-27:32:26.1,441.,5.E3,4898.,21.4,39.39,-11.82,267.5805416666666,-27.540583333333334,21.4,146767,2001 XC202,15.29,0.15,0.14227486,2.3455093,2460610.02132,63.284703,7.8069745,27.282111,2460600.5,15.29,146767,2001 XC202
45,148315 (2000 PU6),17:49:27.36,-30:13:00.5,-242.,-5.E3,4762.,20.8,68.96,7.871,267.364,-30.216805555555553,20.8,148315,2000 PU6,16.34,0.15,0.076425445,1.8008871,2460208.30320,269.43862,233.56241,17.290056,2460600.5,16.34,148315,2000 PU6
46,148536 (2001 QG83),17:49:26.96,-30:13:23.5,-247.,-5.E3,4786.,21.5,54.94,-2.433,267.3623333333333,-30.22319444444444,21.5,148536,2001 QG83,16.06,0.15,0.312166706,1.8442626,2460145.89940,324.28151,27.802640,8.1230633,2460600.5,16.06,148536,2001 QG83
47,153674 (2001 TE190),17:49:07.31,-27:57:52.0,-505.,3.E3,3390.,21.6,59.64,-5.387,267.28045833333334,-27.964444444444442,21.6,153674,2001 TE190,16.54,0.15,0.039405107,2.3607831,2460045.30940,17.513172,230.52852,6.9524269,2460600.5,16.54,153674,2001 TE190
48,163621 (2002 TP294),17:49:01.34,-29:33:34.3,-583.,-2.E3,2460.,20.7,38.76,-0.73,267.2555833333333,-29.559527777777777,20.7,163621,2002 TP294,14.37,0.15,0.126460715,2.6499411,2460289.56880,301.82848,101.98966,9.2092309,2460600.5,14.37,163621,2002 TP294
49,171747 (2000 XU30),17:48:55.15,-28:19:47.6,-665.,2.E3,2143.,22.0,50.5,-3.591,267.22979166666664,-28.32988888888889,22.0,171747,2000 XU30,16.60,0.15,0.142365581,1.9743569,2460776.73768,357.20745,64.357432,5.965199,2460600.5,16.60,171747,2000 XU30
50,171913 (2001 SA74),17:51:09.88,-27:21:54.8,1.E3,6.E3,5621.,21.5,40.39,0.2623,267.7911666666667,-27.365222222222222,21.5,171913,2001 SA74,15.24,0.15,0.163965905,2.5688678,2460072.92340,293.27342,84.465139,6.9686004,2460600.5,15.24,171913,2001 SA74
51,174022 (2001 YP124),17:48:54.30,-27:25:48.7,-676.,5.E3,5319.,22.8,34.18,-0.5627,267.22625,-27.430194444444446,22.8,174022,2001 YP124,16.11,0.15,0.269399384,2.2714017,2460131.28240,302.52187,96.045785,6.0458728,2460600.5,16.11,174022,2001 YP124
52,175059 (2004 FV149),17:48:58.67,-30:05:11.4,-618.,-4.E3,4331.,21.2,52.0,1.091,267.2444583333333,-30.086499999999997,21.2,175059,2004 FV149,15.73,0.15,0.049351157,2.5442212,2461176.48977,289.55966,252.26119,11.733657,2460600.5,15.73,175059,2004 FV149
53,175428 (2006 QW8),17:51:00.41,-30:32:09.8,980.,-6.E3,5985.,21.5,44.61,-2.718,267.75170833333334,-30.536055555555556,21.5,175428,2006 QW8,15.51,0.15,0.062486448,2.8936563,2459918.78870,332.32870,8.4904138,8.2314722,2460600.5,15.51,175428,2006 QW8
54,179816 (2002 TF86),17:50:54.46,-27:54:48.2,902.,4.E3,3650.,21.3,68.57,-3.605,267.7269166666666,-27.91338888888889,21.3,179816,2002 TF86,16.59,0.15,0.103280222,2.1242501,2460154.27440,352.36521,265.08707,5.5330051,2460600.5,16.59,179816,2002 TF86
55,180087 (2003 EL8),17:49:11.52,-28:30:58.8,-450.,1.E3,1438.,20.8,54.12,0.2754,267.29799999999994,-28.516333333333332,20.8,180087,2003 EL8,15.46,0.15,0.089968902,2.5158796,2461292.12874,295.78545,272.60664,8.0225513,2460600.5,15.46,180087,2003 EL8
56,184609 (2005 QJ182),17:50:54.05,-27:36:54.0,897.,5.E3,4698.,21.7,52.45,-2.275,267.7252083333333,-27.615000000000002,21.7,184609,2005 QJ182,16.22,0.15,0.049520032,2.6200746,2461284.43904,343.92466,226.72173,4.8564189,2460600.5,16.22,184609,2005 QJ182
57,191886 (2004 XR161),17:50:33.88,-30:29:57.4,632.,-6.E3,5807.,21.3,43.08,1.009,267.6411666666666,-30.499277777777777,21.3,191886,2004 XR161,15.32,0.15,0.17123707,2.3736837,2460214.76520,288.15428,89.130883,13.589651,2460600.5,15.32,191886,2004 XR161
58,201321 (2002 TY122),17:49:54.17,-28:02:23.9,110.,3.E3,3082.,20.8,47.82,1.344,267.4757083333333,-28.039972222222225,20.8,201321,2002 TY122,15.06,0.15,0.048264925,2.8563037,2461329.49799,285.21208,299.94989,9.3345243,2460600.5,15.06,201321,2002 TY122
59,201696 (2003 UT131),17:50:33.09,-30:42:53.6,622.,-7.E3,6578.,21.8,38.99,-5.045,267.63787499999995,-30.71488888888889,21.8,201696,2003 UT131,15.46,0.15,0.121031507,2.6069009,2460519.49754,14.056314,59.883443,9.5691105,2460600.5,15.46,201696,2003 UT131
60,204266 (2004 FC33),17:49:11.52,-29:13:34.5,-450.,-1.E3,1272.,20.5,60.15,-2.076,267.29799999999994,-29.226249999999997,20.5,204266,2004 FC33,15.30,0.15,0.219010583,2.451252,2461437.96508,323.48247,280.18667,6.9354398,2460600.5,15.30,204266,2004 FC33
61,207617 (2006 RJ43),17:49:05.21,-27:12:59.7,-533.,6.E3,6068.,21.6,46.29,-3.358,267.27170833333327,-27.216583333333332,21.6,207617,2006 RJ43,15.65,0.15,0.151246139,2.6265031,2459846.18140,19.344486,318.81065,5.4920057,2460600.5,15.65,207617,2006 RJ43
62,216927 (1998 QQ89),17:51:07.93,-27:44:17.7,1.E3,4.E3,4305.,21.6,60.15,1.19,267.7830416666667,-27.73825,21.6,216927,1998 QQ89,16.53,0.15,0.136752072,2.0526894,2460414.29280,289.33262,55.319015,7.5469641,2460600.5,16.53,216927,1998 QQ89
63,219438 (2000 UM64),17:49:11.06,-27:45:52.2,-456.,4.E3,4098.,22.4,43.06,-1.516,267.2960833333333,-27.7645,22.4,219438,2000 UM64,16.43,0.15,0.125465889,2.4433208,2460408.79870,324.74477,75.320471,5.1794804,2460600.5,16.43,219438,2000 UM64
64,220673 (2004 RQ208),17:49:50.88,-30:12:35.0,67.2,-5.E3,4731.,20.5,58.72,3.316,267.462,-30.209722222222222,20.5,220673,2004 RQ208,15.28,0.15,0.138823178,2.4234326,2459816.15070,282.29422,349.49500,13.740208,2460600.5,15.28,220673,2004 RQ208
65,229910 (6798 P-L),17:51:15.53,-28:25:12.7,1.E3,2.E3,2080.,22.1,54.79,-4.492,267.81470833333333,-28.420194444444444,22.1,229910,6798 P-L,16.76,0.15,0.206677244,1.9120919,2460447.41200,13.282425,354.17190,6.9900432,2460600.5,16.76,229910,6798 P-L
66,237418 (1998 UQ47),17:49:53.64,-30:26:42.4,103.,-6.E3,5579.,22.1,52.0,-9.834,267.4735,-30.44511111111111,22.1,237418,1998 UQ47,16.57,0.15,0.155281597,2.2135106,2460281.20980,36.985839,319.23428,14.804549,2460600.5,16.57,237418,1998 UQ47
67,238749 (2005 GZ171),17:49:42.90,-30:03:19.2,-37.6,-4.E3,4175.,21.8,44.12,-6.122,267.42875,-30.055333333333333,21.8,238749,2005 GZ171,15.81,0.15,0.039420525,2.9205008,2460060.43960,24.694215,333.54032,10.237494,2460600.5,15.81,238749,2005 GZ171
68,244929 (2003 XB20),17:48:48.80,-30:04:32.8,-748.,-4.E3,4313.,21.9,38.03,-1.192,267.2033333333333,-30.075777777777777,21.9,244929,2003 XB20,15.57,0.15,0.156111196,2.5664462,2460794.12709,306.08135,170.96585,9.3825115,2460600.5,15.57,244929,2003 XB20
69,247886 (2003 UR191),17:49:12.74,-27:44:43.5,-434.,4.E3,4164.,22.2,55.98,0.007589,267.30308333333335,-27.745416666666667,22.2,247886,2003 UR191,16.91,0.15,0.143620034,2.1987445,2460268.76980,298.10637,43.390873,6.5605127,2460600.5,16.91,247886,2003 UR191
70,248010 (2004 EZ56),17:50:40.57,-30:08:45.3,720.,-5.E3,4558.,21.3,49.51,-5.103,267.6690416666666,-30.145916666666665,21.3,248010,2004 EZ56,15.63,0.15,0.086039724,2.8366083,2461488.90535,6.3531632,252.82431,8.5318826,2460600.5,15.63,248010,2004 EZ56
71,252379 (2001 SY306),17:50:08.45,-28:33:15.9,298.,1.E3,1264.,22.1,43.21,-0.1179,267.5352083333333,-28.55441666666667,22.1,252379,2001 SY306,16.23,0.15,0.135941353,2.3571292,2460852.22976,296.74246,173.39982,8.2618236,2460600.5,16.23,252379,2001 SY306
72,253732 (2003 WW21),17:49:09.52,-28:07:46.7,-476.,3.E3,2799.,22.3,42.68,-12.69,267.2896666666667,-28.129638888888888,22.3,253732,2003 WW21,16.62,0.15,0.220245831,1.8220636,2460869.24632,59.156102,25.519119,25.669661,2460600.5,16.62,253732,2003 WW21
73,254898 (2005 SX72),17:48:35.19,-28:55:56.8,-927.,-133.,936.0,22.4,35.94,-5.036,267.146625,-28.932444444444446,22.4,254898,2005 SX72,16.00,0.15,0.23777836,2.1368392,2460735.75758,34.242484,58.704004,9.8111198,2460600.5,16.00,254898,2005 SX72
74,257476 (1995 FE3),17:49:00.09,-27:11:41.9,-600.,6.E3,6152.,22.6,46.75,-3.73,267.25037499999996,-27.194972222222223,22.6,257476,1995 FE3,16.88,0.15,0.06701008,2.5078795,2460596.28691,23.085607,38.050920,5.8547409,2460600.5,16.88,257476,1995 FE3
75,258945 (2002 RF206),17:49:40.69,-27:44:28.1,-66.5,4.E3,4157.,22.3,50.96,-2.167,267.41954166666665,-27.74113888888889,22.3,258945,2002 RF206,16.88,0.15,0.120468494,2.0854986,2460694.68878,336.74682,73.619264,4.9970028,2460600.5,16.88,258945,2002 RF206
76,265927 (2006 BG157),17:48:25.16,-30:08:28.5,-1.E3,-4.E3,4606.,22.6,38.45,-3.774,267.1048333333333,-30.14125,22.6,265927,2006 BG157,16.40,0.15,0.18448006,2.3617521,2460809.37767,352.86993,117.35038,7.7270909,2460600.5,16.40,265927,2006 BG157
77,266672 (2008 YD168),17:50:17.91,-29:45:30.9,422.,-3.E3,3135.,21.7,48.25,-9.29,267.57462499999997,-29.758583333333334,21.7,266672,2008 YD168,16.06,0.15,0.071770466,2.3878847,2460724.04237,41.274397,35.564619,14.769298,2460600.5,16.06,266672,2008 YD168
78,268275 (2005 PP7),17:50:30.54,-30:13:59.7,588.,-5.E3,4851.,22.2,56.46,-3.249,267.62724999999995,-30.233249999999998,22.2,268275,2005 PP7,16.99,0.15,0.068554899,2.2322754,2460520.82734,333.77387,34.575356,7.9338973,2460600.5,16.99,268275,2005 PP7
79,276539 (2003 SF78),17:50:47.30,-28:31:10.3,808.,1.E3,1578.,23.6,50.01,-1.917,267.6970833333333,-28.51952777777778,23.6,276539,2003 SF78,18.06,0.15,0.181491463,1.8864999,2460687.89309,326.58223,78.420368,6.0469705,2460600.5,18.06,276539,2003 SF78
80,280549 (2004 RJ203),17:50:51.69,-28:25:40.5,866.,2.E3,1894.,21.7,66.73,-3.575,267.71537499999994,-28.42791666666667,21.7,280549,2004 RJ203,16.81,0.15,0.126213364,2.1656243,2460127.48510,348.77921,290.64383,6.0198607,2460600.5,16.81,280549,2004 RJ203
81,287085 (2002 RN69),17:48:52.35,-27:29:37.5,-701.,5.E3,5096.,23.0,45.21,-2.891,267.218125,-27.493750000000002,23.0,287085,2002 RN69,17.23,0.15,0.227906687,1.8311014,2460675.51526,2.7662394,48.983527,5.0415019,2460600.5,17.23,287085,2002 RN69
82,287204 (2002 SW34),17:48:57.17,-28:49:04.8,-638.,279.,696.8,21.9,51.6,-6.942,267.2382083333333,-28.818,21.9,287204,2002 SW34,16.42,0.15,0.110506261,2.3376253,2460304.12220,32.213124,324.73142,10.210734,2460600.5,16.42,287204,2002 SW34
83,291694 (2006 HF110),17:49:22.54,-29:42:08.7,-305.,-3.E3,2920.,20.4,69.65,14.97,267.34391666666664,-29.702416666666664,20.4,291694,2006 HF110,15.98,0.15,0.152447135,1.9281256,2460121.26980,259.61623,312.00094,23.941531,2460600.5,15.98,291694,2006 HF110
84,293682 (2007 PH33),17:50:28.44,-28:21:35.7,561.,2.E3,2009.,21.5,72.56,-1.07,267.6184999999999,-28.359916666666667,21.5,293682,2007 PH33,16.91,0.15,0.150519752,1.9033879,2460392.10010,314.54966,353.37743,6.1779819,2460600.5,16.91,293682,2007 PH33
85,296043 (2009 AW11),17:50:53.05,-27:43:38.2,884.,4.E3,4299.,21.4,65.41,0.02994,267.7210416666666,-27.727277777777775,21.4,296043,2009 AW11,16.64,0.15,0.061156519,2.1208949,2460069.22050,301.82703,257.84856,6.0758859,2460600.5,16.64,296043,2009 AW11
86,297455 (2000 SZ267),17:48:21.25,-29:55:47.6,-1.E3,-4.E3,3884.,22.3,38.96,-2.37,267.08854166666663,-29.92988888888889,22.3,297455,2000 SZ267,15.98,0.15,0.154617162,2.6617115,2460040.35380,328.42524,51.027399,7.5973581,2460600.5,15.98,297455,2000 SZ267
87,298466 (2003 UQ158),17:50:17.97,-29:43:32.0,423.,-3.E3,3017.,22.6,43.14,-7.77,267.5748749999999,-29.725555555555555,22.6,298466,2003 UQ158,16.64,0.15,0.149211612,2.213649,2460699.87179,40.426387,34.848554,13.675297,2460600.5,16.64,298466,2003 UQ158
88,299251 (2005 MN50),17:50:34.90,-28:06:27.5,645.,3.E3,2910.,21.7,50.03,0.8488,267.6454166666666,-28.10763888888889,21.7,299251,2005 MN50,15.94,0.15,0.124603426,2.7452482,2459614.83250,291.17154,2.6092286,8.2841846,2460600.5,15.94,299251,2005 MN50
89,300362 (2007 RX89),17:49:58.95,-27:02:36.5,173.,7.E3,6670.,23.3,41.08,-2.222,267.49562499999996,-27.043472222222224,23.3,300362,2007 RX89,17.26,0.15,0.193765581,2.0958994,2460729.63685,0.60580906,78.967145,4.3497219,2460600.5,17.26,300362,2007 RX89
90,300907 (2008 BJ42),17:48:19.28,-29:30:56.9,-1.E3,-2.E3,2503.,21.6,40.06,-4.611,267.08033333333333,-29.515805555555556,21.6,300907,2008 BJ42,15.33,0.15,0.036936179,3.0978902,2460686.77969,15.425616,103.86117,8.1792665,2460600.5,15.33,300907,2008 BJ42
