,Object name,Astrometric RA (hh:mm:ss),"Astrometric Dec (dd mm'ss"")","Dist. from center RA ("")","Dist. from center Dec ("")","Dist. from center Norm ("")",Visual magnitude (V),"RA rate (""/h)","Dec rate (""/h)",ra,dec,V_mag,name_x,id_x,Absolute magntiude (H),Magnitude slope (G),Eccentricity,Perihelion (au),Time of perihelion passage (JD),Longitude of ascending node (deg),Argument of perihelion (deg),Inclination (deg),Epoch (JD),H_mag,name_y,id_y
4421,746681 (2012 CM63),17:49:28.93,-27:34:49.5,-221.,5.E3,4740.,22.6,52.2,-5.821,267.3705416666666,-27.580416666666668,22.6,746681,2012 CM63,17.64,0.15,0.128882802,2.4124134,2459910.68700,359.01431,278.77690,4.5161904,2460600.5,17.64,746681,2012 CM63
4422,749948 (2014 QR192),17:49:19.21,-30:16:33.9,-349.,-5.E3,4982.,23.3,55.17,-4.466,267.3300416666666,-30.276083333333332,23.3,749948,2014 QR192,18.63,0.15,0.083366424,2.0435862,2460590.62027,305.63092,44.623385,7.5130357,2460600.5,18.63,749948,2014 QR192
4423,753172 (2015 XU65),17:50:01.78,-29:49:34.4,210.,-3.E3,3357.,23.1,32.11,-0.4659,267.50741666666664,-29.82622222222222,23.1,753172,2015 XU65,17.12,0.15,0.166509608,2.2883846,2460745.87290,279.07584,166.65202,13.054186,2460600.5,17.12,753172,2015 XU65
4424,755752 (2017 PH25),17:50:21.57,-29:29:34.3,470.,-2.E3,2201.,22.3,40.43,-12.87,267.58987499999995,-29.49286111111111,22.3,755752,2017 PH25,16.68,0.15,0.348635398,1.9861462,2459871.60930,47.894605,305.47476,17.013374,2460600.5,16.68,755752,2017 PH25
4425,756964 (2021 RB143),17:49:27.34,-27:26:58.5,-242.,5.E3,5211.,23.2,64.23,-8.055,267.3639166666666,-27.449583333333333,23.2,756964,2021 RB143,18.80,0.15,0.212709277,1.7095296,2460533.64390,13.405498,322.32843,5.3470313,2460600.5,18.80,756964,2021 RB143
4426,(1999 VH210),17:51:02.44,-27:04:55.3,1.E3,7.E3,6607.,23.4,36.61,-9.602,267.76016666666663,-27.08202777777778,23.4,,1999 VH210,17.72,0.15,0.135220967,2.2392915,2460685.50256,53.283831,11.097758,13.634521,2460600.5,17.72,,1999 VH210
4427,(2001 TQ266),17:50:10.21,-28:10:10.1,321.,3.E3,2634.,23.8,37.2,-5.989,267.54254166666664,-28.169472222222222,23.8,,2001 TQ266,18.08,0.15,0.150396279,2.3139477,2460410.69980,17.899818,10.373941,6.1347346,2460600.5,18.08,,2001 TQ266
4428,(2003 BS101),17:49:36.90,-27:45:23.2,-116.,4.E3,4103.,23.0,42.14,-0.2107,267.40374999999995,-27.756444444444444,23.0,,2003 BS101,17.49,0.15,0.156549062,2.2873557,2460261.72620,277.18986,79.846305,8.6183587,2460600.5,17.49,,2003 BS101
4429,(2005 BN57),17:49:04.65,-29:51:11.7,-540.,-3.E3,3489.,23.7,57.82,-0.156,267.26937499999997,-29.853250000000003,23.7,,2005 BN57,19.11,0.15,0.147988756,2.2289776,2459918.26500,280.53905,318.50777,9.9593986,2460600.5,19.11,,2005 BN57
4430,(2005 UM467),17:48:16.58,-30:15:40.6,-1.E3,-5.E3,5052.,23.7,40.07,-9.462,267.0690833333333,-30.261277777777778,23.7,,2005 UM467,18.14,0.15,0.177596913,2.273166,2460237.46480,23.211937,339.22898,9.7607367,2460600.5,18.14,,2005 UM467
4431,(2006 RP111),17:50:26.34,-28:20:12.3,533.,2.E3,2082.,24.5,41.39,-6.572,267.60974999999996,-28.33675,24.5,,2006 RP111,19.05,0.15,0.086188974,2.4446236,2460409.16850,15.590157,0.55158169,6.2397857,2460600.5,19.05,,2006 RP111
4432,(2006 SU148),17:49:38.98,-27:26:34.7,-89.1,5.E3,5230.,23.4,45.19,-4.233,267.4124166666666,-27.442972222222224,23.4,,2006 SU148,18.12,0.15,0.155124048,2.2491782,2460259.16530,339.73842,8.8821569,4.0111692,2460600.5,18.12,,2006 SU148
4433,(2007 PD56),17:48:22.43,-28:15:08.2,-1.E3,2.E3,2563.,24.9,27.57,-3.582,267.0934583333333,-28.252277777777778,24.9,,2007 PD56,18.39,0.15,0.280966721,2.1620989,2460240.24650,336.65412,62.904043,4.9096966,2460600.5,18.39,,2007 PD56
4434,(2007 TB329),17:48:58.05,-28:41:25.9,-627.,738.,968.8,23.3,32.96,-5.057,267.24187499999994,-28.690527777777778,23.3,,2007 TB329,17.18,0.15,0.057608367,2.9161313,2460552.07714,358.37135,83.604149,5.5914469,2460600.5,17.18,,2007 TB329
4435,(2007 VB154),17:48:47.64,-28:02:30.7,-763.,3.E3,3168.,24.3,35.1,-7.066,267.19849999999997,-28.041861111111114,24.3,,2007 VB154,18.30,0.15,0.34500118,1.9624409,2460003.23800,37.708944,331.65419,8.7643212,2460600.5,18.30,,2007 VB154
4436,(2007 VT385),17:48:34.85,-27:34:48.4,-931.,5.E3,4828.,23.9,30.53,-6.754,267.1452083333333,-27.580111111111112,23.9,,2007 VT385,17.66,0.15,0.155962404,2.5975818,2460220.04050,45.463484,348.83884,9.7054797,2460600.5,17.66,,2007 VT385
4437,(2008 GD22),17:48:55.37,-27:16:39.9,-662.,6.E3,5862.,24.5,28.01,-4.881,267.2307083333333,-27.277749999999997,24.5,,2008 GD22,18.20,0.15,0.280041043,1.9333357,2460690.68436,31.945472,42.102810,6.1642255,2460600.5,18.20,,2008 GD22
4438,(2008 VV97),17:49:46.20,-27:18:40.9,5.82,6.E3,5703.,23.9,32.21,1.056,267.44249999999994,-27.31136111111111,23.9,,2008 VV97,17.79,0.15,0.103226578,2.6778617,2460440.50630,269.90248,145.97529,11.590576,2460600.5,17.79,,2008 VV97
4439,(2008 YV96),17:48:30.68,-27:24:59.5,-986.,5.E3,5417.,23.7,35.39,-3.104,267.1278333333333,-27.416527777777777,23.7,,2008 YV96,18.04,0.15,0.198689416,2.086751,2460966.46285,315.95161,155.76430,4.3146823,2460600.5,18.04,,2008 YV96
4440,(2009 SK394),17:49:56.24,-27:24:36.5,138.,5.E3,5350.,23.5,36.79,-5.711,267.4843333333333,-27.410138888888888,23.5,,2009 SK394,17.70,0.15,0.083281982,2.6005162,2460420.45960,26.625678,10.630981,5.9355271,2460600.5,17.70,,2009 SK394
4441,(2009 UF118),17:49:35.47,-29:52:09.9,-135.,-4.E3,3508.,23.8,43.02,-9.992,267.3977916666666,-29.869416666666666,23.8,,2009 UF118,18.29,0.15,0.220941181,2.1727862,2460139.44090,28.472910,322.33386,10.260724,2460600.5,18.29,,2009 UF118
4442,(2010 MS139),17:48:14.15,-27:10:50.9,-1.E3,6.E3,6291.,22.5,43.53,4.81,267.0589583333333,-27.18080555555556,22.5,,2010 MS139,17.12,0.15,0.122299231,2.7049581,2459634.10770,260.37303,17.353280,15.273858,2460600.5,17.12,,2010 MS139
4443,(2010 NZ112),17:50:26.34,-28:28:22.5,533.,2.E3,1613.,21.8,53.78,-24.45,267.60974999999996,-28.472916666666666,21.8,,2010 NZ112,16.91,0.15,0.311109211,2.138558,2459649.64360,54.017259,249.02207,26.959931,2460600.5,16.91,,2010 NZ112
4444,(2010 RY106),17:49:10.53,-30:20:24.1,-463.,-5.E3,5220.,24.3,48.01,-9.441,267.29387499999996,-30.340027777777777,24.3,,2010 RY106,19.25,0.15,0.142562786,1.9819446,2460607.49290,7.7948017,7.7871086,8.1919511,2460600.5,19.25,,2010 RY106
4445,(2010 UK138),17:48:29.04,-28:15:41.6,-1.E3,2.E3,2496.,24.1,50.02,-5.37,267.121,-28.261555555555557,24.1,,2010 UK138,19.13,0.15,0.204552066,1.8323008,2460542.60803,337.75347,26.064881,4.7938891,2460600.5,19.13,,2010 UK138
4446,(2011 SO11),17:48:50.29,-30:22:29.8,-728.,-5.E3,5374.,23.1,33.53,-3.73,267.20954166666667,-30.374944444444445,23.1,,2011 SO11,17.02,0.15,0.069316933,2.978562,2460007.34470,310.80446,54.123277,8.0374377,2460600.5,17.02,,2011 SO11
4447,(2011 SD342),17:50:07.72,-30:05:57.8,288.,-4.E3,4343.,23.6,54.79,-6.831,267.5321666666666,-30.09938888888889,23.6,,2011 SD342,18.68,0.15,0.163215169,2.1383589,2460216.84320,337.66581,340.29291,6.6064901,2460600.5,18.68,,2011 SD342
4448,(2012 BM20),17:49:05.55,-29:30:34.6,-528.,-2.E3,2272.,24.0,33.1,-1.477,267.273125,-29.509611111111113,24.0,,2012 BM20,18.10,0.15,0.186013354,2.186919,2460565.89554,284.81035,128.10832,10.533899,2460600.5,18.10,,2012 BM20
4449,(2012 RU14),17:48:41.73,-29:25:39.1,-841.,-2.E3,2090.,22.8,39.62,-0.5092,267.173875,-29.42752777777778,22.8,,2012 RU14,17.11,0.15,0.061290914,2.8382723,2459840.13460,281.01145,26.121328,10.921171,2460600.5,17.11,,2012 RU14
4450,(2012 TH373),17:50:42.13,-30:21:23.1,740.,-5.E3,5310.,23.1,45.19,-9.064,267.6755416666666,-30.356416666666668,23.1,,2012 TH373,17.69,0.15,0.169107219,2.5251596,2459798.57740,14.675112,297.81698,8.7342733,2460600.5,17.69,,2012 TH373
4451,(2012 UO110),17:49:37.92,-27:34:55.3,-103.,5.E3,4730.,23.1,64.88,-26.05,267.408,-27.58202777777778,23.1,,2012 UO110,18.98,0.15,0.08269323,1.7230985,2460821.74880,47.766735,309.92541,22.196333,2460600.5,18.98,,2012 UO110
4452,(2012 VH16),17:49:46.30,-29:29:48.8,7.10,-2.E3,2165.,23.3,31.8,-19.31,267.44291666666663,-29.49688888888889,23.3,,2012 VH16,17.58,0.15,0.204063261,2.0612018,2460957.46382,58.394052,52.625193,31.951557,2460600.5,17.58,,2012 VH16
4453,(2012 VA68),17:48:52.37,-28:40:47.1,-701.,777.,1047.,23.3,29.75,-7.973,267.21820833333334,-28.679750000000002,23.3,,2012 VA68,16.97,0.15,0.108071108,2.8027715,2460371.51260,44.439032,15.106916,11.691669,2460600.5,16.97,,2012 VA68
4454,(2013 AT194),17:48:12.79,-28:52:26.7,-1.E3,77.5,1223.,23.6,26.38,0.02621,267.05329166666667,-28.874083333333335,23.6,,2013 AT194,16.98,0.15,0.217252805,2.4682012,2460219.13680,275.07115,129.10376,13.938427,2460600.5,16.98,,2013 AT194
4455,(2013 RD34),17:49:10.87,-27:51:35.6,-458.,4.E3,3757.,22.8,66.9,-2.227,267.2952916666666,-27.85988888888889,22.8,,2013 RD34,18.43,0.15,0.166045779,1.9453523,2460311.18140,291.49117,0.96341255,5.4223277,2460600.5,18.43,,2013 RD34
4456,(2013 RF145),17:50:25.52,-29:28:04.8,522.,-2.E3,2125.,24.1,54.32,-8.54,267.6063333333333,-29.468,24.1,,2013 RF145,19.23,0.15,0.323743312,1.5766847,2460444.98270,5.8104629,350.56511,7.0468595,2460600.5,19.23,,2013 RF145
4457,(2013 YV166),17:50:21.58,-27:10:43.3,470.,6.E3,6199.,23.5,50.62,-1.295,267.5899166666666,-27.178694444444446,23.5,,2013 YV166,18.67,0.15,0.161230211,2.1220304,2461249.64404,286.34400,245.67014,5.4060393,2460600.5,18.67,,2013 YV166
4458,(2014 BH),17:49:48.92,-27:09:35.4,41.5,6.E3,6249.,22.7,47.68,17.78,267.4538333333333,-27.15983333333333,22.7,,2014 BH,18.30,0.15,0.373789388,1.6151141,2461293.58595,247.51810,269.24719,26.755049,2460600.5,18.30,,2014 BH
4459,(2014 BW31),17:48:50.83,-29:33:45.6,-721.,-2.E3,2507.,24.3,28.5,-1.463,267.2117916666666,-29.56266666666667,24.3,,2014 BW31,17.96,0.15,0.2160516,2.5379658,2458774.62210,286.85851,205.18261,10.58699,2459400.5,17.96,,2014 BW31
4460,(2014 GJ57),17:50:22.09,-29:26:49.3,477.,-2.E3,2041.,23.1,48.63,-11.64,267.5920416666666,-29.447027777777777,23.1,,2014 GJ57,18.11,0.15,0.060013114,2.4496981,2461326.98798,30.325927,176.93086,10.506385,2460600.5,18.11,,2014 GJ57
4461,(2014 HH216),17:49:10.09,-27:53:25.7,-468.,4.E3,3649.,23.0,60.95,-9.219,267.29204166666665,-27.890472222222222,23.0,,2014 HH216,18.34,0.15,0.235239438,1.9987399,2460116.18200,21.419952,286.95181,6.7080194,2460600.5,18.34,,2014 HH216
4462,(2014 HB275),17:49:21.06,-30:47:18.2,-324.,-7.E3,6822.,23.8,44.9,-13.86,267.33774999999997,-30.78838888888889,23.8,,2014 HB275,18.67,0.15,0.119098897,2.2910558,2461163.37495,31.878076,127.93543,13.231824,2460600.5,18.67,,2014 HB275
4463,(2014 HK346),17:50:47.72,-27:13:01.8,814.,6.E3,6098.,23.1,68.57,-10.79,267.6988333333333,-27.217166666666664,23.1,,2014 HK346,18.69,0.15,0.278242124,1.8912844,2460071.57440,32.048905,267.12004,7.6925853,2460600.5,18.69,,2014 HK346
4464,(2014 HW368),17:48:34.88,-29:25:40.1,-931.,-2.E3,2129.,24.4,50.84,0.1875,267.1453333333333,-29.427805555555558,24.4,,2014 HW368,19.51,0.15,0.087620823,2.378906,2456777.93318,277.60971,303.22670,10.484052,2456776.5,19.51,,2014 HW368
4465,(2014 OH331),17:50:13.80,-29:24:59.3,368.,-2.E3,1911.,24.2,46.19,-4.969,267.55749999999995,-29.41647222222222,24.2,,2014 OH331,19.08,0.15,0.136578505,1.9214455,2460786.47923,321.62441,85.036954,6.1166922,2460600.5,19.08,,2014 OH331
4466,(2014 QV345),17:49:30.22,-29:14:00.0,-204.,-1.E3,1233.,23.3,32.8,-10.3,267.3759166666666,-29.233333333333334,23.3,,2014 QV345,17.34,0.15,0.284129278,1.9496694,2460358.86400,47.981660,342.98489,15.3865,2460600.5,17.34,,2014 QV345
4467,(2014 QS356),17:49:34.99,-27:49:57.2,-141.,4.E3,3830.,24.1,34.44,-4.753,267.39579166666664,-27.832555555555555,24.1,,2014 QS356,18.13,0.15,0.173523846,2.2941515,2460414.66550,5.1078981,31.209110,4.9171263,2460600.5,18.13,,2014 QS356
4468,(2014 QE489),17:50:12.59,-28:49:08.0,352.,276.,447.8,23.4,37.7,-5.084,267.5524583333333,-28.81888888888889,23.4,,2014 QE489,17.70,0.15,0.075969604,2.55923,2460534.60146,347.38788,63.455032,5.4840156,2460600.5,17.70,,2014 QE489
4469,(2014 RY19),17:50:50.58,-27:47:45.8,851.,4.E3,4050.,23.6,53.72,-4.529,267.71074999999996,-27.796055555555558,23.6,,2014 RY19,18.79,0.15,0.202713226,1.7735016,2460581.14798,329.71136,31.093672,4.3189069,2460600.5,18.79,,2014 RY19
4470,(2014 SZ9),17:48:19.42,-29:35:18.1,-1.E3,-2.E3,2738.,23.3,41.64,-5.553,267.08091666666667,-29.58836111111111,23.3,,2014 SZ9,17.82,0.15,0.051124839,2.6152098,2460282.86230,336.04252,20.135498,6.1631155,2460600.5,17.82,,2014 SZ9
4471,(2014 SD82),17:48:45.05,-27:01:28.6,-797.,7.E3,6784.,24.1,37.12,-4.314,267.1877083333333,-27.02461111111111,24.1,,2014 SD82,18.30,0.15,0.121809761,2.4322987,2460395.70930,3.9576458,23.965484,3.9999964,2460600.5,18.30,,2014 SD82
4472,(2014 TL50),17:48:30.47,-27:14:16.1,-989.,6.E3,6051.,23.2,51.87,-4.165,267.12695833333333,-27.237805555555557,23.2,,2014 TL50,18.14,0.15,0.189018999,2.2296619,2460044.94980,331.53032,343.34132,3.7736617,2460600.5,18.14,,2014 TL50
4473,(2014 TX91),17:50:29.37,-30:09:47.4,573.,-5.E3,4598.,23.8,48.56,-6.801,267.622375,-30.163166666666665,23.8,,2014 TX91,18.80,0.15,0.076917806,2.1031161,2460777.90772,338.78979,69.255106,6.7038094,2460600.5,18.80,,2014 TX91
4474,(2014 US126),17:48:37.83,-27:28:04.5,-892.,5.E3,5218.,24.1,53.52,-2.631,267.157625,-27.467916666666664,24.1,,2014 US126,19.25,0.15,0.161434893,1.8883491,2460565.44075,296.41085,59.688801,4.9366635,2460600.5,19.25,,2014 US126
4475,(2014 UT199),17:49:41.93,-29:34:38.7,-50.3,-2.E3,2455.,24.0,33.78,-6.161,267.4247083333333,-29.577416666666668,24.0,,2014 UT199,18.00,0.15,0.277520304,2.0085966,2460296.84180,6.0551261,19.812596,6.911128,2460600.5,18.00,,2014 UT199
4476,(2015 AE162),17:49:44.81,-29:57:34.4,-12.5,-4.E3,3830.,24.1,33.17,-2.977,267.4367083333333,-29.959555555555553,24.1,,2015 AE162,18.14,0.15,0.091623371,2.7295977,2460760.49152,301.95402,166.04201,8.3426695,2460600.5,18.14,,2015 AE162
4477,(2015 BL581),17:49:27.33,-27:20:10.2,-242.,6.E3,5619.,23.0,31.61,1.397,267.36387499999995,-27.336166666666667,23.0,,2015 BL581,16.88,0.15,0.077323705,2.8544201,2460598.64585,268.75515,179.92314,12.417225,2460600.5,16.88,,2015 BL581
4478,(2015 DD317),17:49:23.92,-28:21:04.0,-287.,2.E3,1981.,23.3,35.54,-8.737,267.3496666666666,-28.351111111111113,23.3,,2015 DD317,17.47,0.15,0.020021856,2.9871467,2460597.88096,42.490998,44.373727,10.896222,2460600.5,17.47,,2015 DD317
4479,(2015 EF78),17:49:25.49,-30:31:51.3,-266.,-6.E3,5893.,22.8,37.85,-15.35,267.3562083333333,-30.530916666666666,22.8,,2015 EF78,17.12,0.15,0.053391833,2.8992784,2461256.82768,47.649737,157.74342,19.65525,2460600.5,17.12,,2015 EF78
4480,(2015 HP10),17:49:56.37,-27:54:12.3,139.,4.E3,3575.,27.4,112.4,-42.91,267.484875,-27.903416666666665,27.4,,2015 HP10,25.10,0.15,0.090478448,1.1822293,2457061.32665,23.212361,130.10672,15.241423,2457133.5,25.10,,2015 HP10
4481,(2015 HL97),17:49:11.60,-27:16:43.8,-449.,6.E3,5838.,22.6,36.69,-8.085,267.29833333333335,-27.27883333333333,22.6,,2015 HL97,16.74,0.15,0.031969336,3.075603,2461549.72230,46.863128,216.65994,10.161547,2460600.5,16.74,,2015 HL97
4482,(2015 HM228),17:50:38.67,-28:03:19.1,695.,3.E3,3104.,23.1,40.9,-2.035,267.66112499999997,-28.055305555555556,23.1,,2015 HM228,17.53,0.15,0.110742514,2.8267647,2461315.74125,297.69804,276.11936,6.0712746,2460600.5,17.53,,2015 HM228
4483,(2015 HT290),17:49:11.06,-27:36:24.6,-456.,5.E3,4662.,23.3,36.08,-5.977,267.2960833333333,-27.606833333333334,23.3,,2015 HT290,17.34,0.15,0.066056888,2.9594453,2459861.48970,28.738230,306.78385,6.440469,2460600.5,17.34,,2015 HT290
4484,(2015 HN408),17:48:26.77,-30:19:05.6,-1.E3,-5.E3,5224.,23.2,33.41,-4.325,267.11154166666665,-30.31822222222222,23.2,,2015 HN408,17.15,0.15,0.042333729,3.0093314,2460704.52765,319.32453,151.04874,7.4155101,2460600.5,17.15,,2015 HN408
4485,(2015 KQ406),17:49:19.25,-30:28:03.6,-348.,-6.E3,5670.,24.1,23.38,-11.22,267.3302083333333,-30.467666666666666,24.1,,2015 KQ406,17.38,0.15,0.230498141,2.458324,2456437.15120,56.122458,39.186545,23.37266,2457164.5,17.38,,2015 KQ406
4486,(2015 PJ107),17:50:20.73,-29:21:53.8,459.,-2.E3,1751.,23.7,56.5,-3.041,267.5863749999999,-29.364944444444447,23.7,,2015 PJ107,18.91,0.15,0.224690215,1.9690196,2460235.47670,298.88910,27.669707,7.082251,2460600.5,18.91,,2015 PJ107
4487,(2015 PQ359),17:48:40.11,-28:30:22.0,-862.,1.E3,1647.,24.7,55.63,-4.501,267.167125,-28.50611111111111,24.7,,2015 PQ359,19.83,0.15,0.243061117,1.9325985,2460231.93340,318.37005,12.157507,5.1744719,2460600.5,19.83,,2015 PQ359
4488,(2015 SX22),17:49:19.63,-28:31:52.5,-343.,1.E3,1356.,23.1,41.08,0.5136,267.3317916666666,-28.53125,23.1,,2015 SX22,17.59,0.15,0.180804996,2.175781,2460330.03480,273.65739,92.185266,11.385867,2460600.5,17.59,,2015 SX22
4489,(2015 VE121),17:49:49.09,-27:54:04.5,43.7,4.E3,3580.,23.3,35.63,-10.15,267.4545416666666,-27.901249999999997,23.3,,2015 VE121,17.50,0.15,0.265422171,1.9390074,2460395.80480,51.848810,334.33819,14.971968,2460600.5,17.50,,2015 VE121
4490,(2015 VD182),17:49:02.24,-29:42:20.1,-572.,-3.E3,2971.,24.5,33.66,-1.276,267.2593333333333,-29.705583333333333,24.5,,2015 VD182,18.54,0.15,0.264427821,1.9463763,2460443.82690,282.39772,111.42190,11.510844,2460600.5,18.54,,2015 VD182
4491,(2015 YD20),17:50:30.81,-29:59:19.1,592.,-4.E3,3979.,22.7,59.59,9.107,267.62837499999995,-29.98863888888889,22.7,,2015 YD20,18.45,0.15,0.077451877,1.711179,2461041.28430,256.80893,170.78633,19.502001,2460600.5,18.45,,2015 YD20
4492,(2016 AZ292),17:50:03.66,-27:02:10.9,235.,7.E3,6698.,24.2,32.5,-2.044,267.51525,-27.036361111111113,24.2,,2016 AZ292,18.16,0.15,0.174400043,2.2857047,2460546.50861,301.40534,115.64291,4.6645967,2460600.5,18.16,,2016 AZ292
