,Object name,Astrometric RA (hh:mm:ss),"Astrometric Dec (dd mm'ss"")","Dist. from center RA ("")","Dist. from center Dec ("")","Dist. from center Norm ("")",Visual magnitude (V),"RA rate (""/h)","Dec rate (""/h)",ra,dec,V_mag,name,id
8032,498946 (2009 BJ61),17:48:11.66,-27:32:12.9,-1.E3,5.E3,5047.,23.2,10.71,-2.693,267.0485833333333,-27.53691666666667,23.2,498946,2009 BJ61
8033,504437 (2008 AB128),17:48:20.23,-27:21:17.9,-1.E3,6.E3,5661.,21.2,39.1,-1.639,267.0842916666667,-27.354972222222223,21.2,504437,2008 AB128
8034,530525 (2011 MQ11),17:48:12.34,-28:04:53.0,-1.E3,3.E3,3179.,22.6,13.97,2.185,267.0514166666666,-28.08138888888889,22.6,530525,2011 MQ11
8035,604548 (2015 RK173),17:48:19.23,-30:10:28.5,-1.E3,-5.E3,4741.,24.0,10.26,-8.467,267.08012499999995,-30.174583333333334,24.0,604548,2015 RK173
8036,620961 (2006 WB65),17:48:15.37,-29:26:24.5,-1.E3,-2.E3,2290.,22.6,30.45,-7.137,267.06404166666664,-29.44013888888889,22.6,620961,2006 WB65
8037,723742 (2007 GT81),17:48:20.48,-28:47:17.3,-1.E3,387.,1185.,22.6,32.31,-13.17,267.0853333333333,-28.78813888888889,22.6,723742,2007 GT81
8038,(2007 VO277),17:50:03.33,-26:58:20.0,231.,7.E3,6928.,23.5,29.6,-6.209,267.5138749999999,-26.97222222222222,23.5,,2007 VO277
8039,(2010 BA140),17:48:18.57,-30:37:40.5,-1.E3,-6.E3,6339.,23.1,15.0,-19.93,267.077375,-30.627916666666668,23.1,,2010 BA140
8040,(2010 FS97),17:48:23.94,-30:40:10.2,-1.E3,-6.E3,6474.,22.0,27.49,-11.24,267.09975,-30.669500000000003,22.0,,2010 FS97
8041,(2014 EL341),17:48:25.69,-28:48:31.7,-1.E3,313.,1097.,23.5,32.55,0.05344,267.10704166666665,-28.808805555555555,23.5,,2014 EL341
8042,(2014 HF62),17:48:13.34,-27:52:01.1,-1.E3,4.E3,3899.,24.4,44.08,-24.56,267.0555833333333,-27.866972222222223,24.4,,2014 HF62
8043,(2014 JO57),17:48:52.30,-27:02:19.7,-702.,7.E3,6722.,21.3,70.48,13.54,267.21791666666667,-27.03880555555556,21.3,,2014 JO57
8044,(2014 QY422),17:48:15.41,-28:32:43.2,-1.E3,1.E3,1733.,22.6,29.69,-6.875,267.06420833333334,-28.545333333333335,22.6,,2014 QY422
8045,(2014 SY107),17:48:22.41,-27:59:07.4,-1.E3,3.E3,3456.,22.6,20.34,-6.122,267.093375,-27.985388888888888,22.6,,2014 SY107
8046,(2014 YV54),17:48:11.99,-27:54:36.2,-1.E3,4.E3,3758.,21.7,15.36,-15.82,267.04995833333334,-27.910055555555555,21.7,,2014 YV54
8047,(2017 OR18),17:49:03.40,-27:44:06.6,-556.,4.E3,4215.,24.2,65.64,-3.499,267.26416666666665,-27.735166666666668,24.2,,2017 OR18
8048,(2020 PN100),17:48:12.33,-29:47:17.5,-1.E3,-3.E3,3438.,24.3,36.5,-12.3,267.051375,-29.788194444444446,24.3,,2020 PN100
8049,(2023 GU7),17:48:22.94,-28:45:46.4,-1.E3,478.,1189.,23.6,26.02,-12.08,267.0955833333333,-28.762888888888888,23.6,,2023 GU7
8050,9863 Reichardt (1991 RJ7),17:48:25.33,-27:07:43.1,-1.E3,6.E3,6450.,18.2,40.47,-3.043,267.1055416666667,-27.12863888888889,18.2,9863 Reichardt,1991 RJ7
8051,61381 (2000 PL29),17:48:26.63,-28:26:30.1,-1.E3,2.E3,1938.,20.3,20.99,-8.642,267.1109583333333,-28.441694444444444,20.3,61381,2000 PL29
8052,141531 (2002 GB),17:48:27.10,-28:50:14.3,-1.E3,210.,1054.,21.3,23.93,-47.34,267.11291666666665,-28.837305555555556,21.3,141531,2002 GB
8053,151142 (2001 XP43),17:48:13.34,-27:02:37.9,-1.E3,7.E3,6778.,20.8,11.12,-9.641,267.0555833333333,-27.043861111111113,20.8,151142,2001 XP43
8054,161593 (2005 QE28),17:48:26.41,-29:06:52.2,-1.E3,-788.,1306.,21.7,19.89,-5.996,267.11004166666663,-29.114500000000003,21.7,161593,2005 QE28
8055,184941 (2005 VM111),17:48:16.11,-27:00:19.9,-1.E3,7.E3,6907.,20.3,25.97,-8.234,267.067125,-27.00552777777778,20.3,184941,2005 VM111
8056,209716 (2005 EG103),17:48:21.23,-27:32:05.5,-1.E3,5.E3,5025.,22.6,13.83,-4.975,267.08845833333334,-27.534861111111113,22.6,209716,2005 EG103
8057,223577 (2004 FE64),17:48:22.16,-27:18:54.1,-1.E3,6.E3,5797.,20.7,34.69,-12.02,267.09233333333333,-27.31502777777778,20.7,223577,2004 FE64
8058,247725 (2003 FC123),17:48:24.81,-30:16:23.0,-1.E3,-5.E3,5070.,21.1,20.54,-11.89,267.103375,-30.273055555555555,21.1,247725,2003 FC123
8059,286978 (2002 QR26),17:48:34.07,-29:10:17.1,-941.,-993.,1367.,21.4,35.72,-7.753,267.1419583333333,-29.17141666666667,21.4,286978,2002 QR26
8060,308642 (2006 AB34),17:48:29.61,-28:42:46.9,-1.E3,657.,1197.,21.0,22.32,-13.68,267.12337499999995,-28.71302777777778,21.0,308642,2006 AB34
8061,322611 (3506 T-3),17:48:22.99,-29:32:34.3,-1.E3,-2.E3,2570.,22.3,25.35,-11.14,267.0957916666667,-29.54286111111111,22.3,322611,3506 T-3
8062,416481 (2003 WH110),17:48:15.14,-28:06:39.6,-1.E3,3.E3,3067.,22.9,18.46,-8.3,267.0630833333333,-28.111,22.9,416481,2003 WH110
8063,430219 (2013 VZ5),17:48:29.45,-30:06:20.2,-1.E3,-4.E3,4468.,22.3,22.14,-10.24,267.1227083333333,-30.105611111111113,22.3,430219,2013 VZ5
8064,570123 (2006 DL102),17:48:39.67,-29:09:24.5,-868.,-940.,1279.,22.0,40.21,-10.78,267.16529166666663,-29.156805555555554,22.0,570123,2006 DL102
8065,611253 (2006 TC13),17:48:32.82,-27:17:07.0,-958.,6.E3,5877.,22.5,27.02,-2.39,267.13675,-27.28527777777778,22.5,611253,2006 TC13
8066,616310 (2005 SW275),17:48:17.19,-27:03:01.6,-1.E3,7.E3,6745.,22.4,21.87,-3.68,267.071625,-27.050444444444445,22.4,616310,2005 SW275
8067,635714 (2014 CF17),17:48:35.42,-30:10:17.7,-924.,-5.E3,4684.,20.4,31.84,-9.912,267.14758333333333,-30.171583333333334,20.4,635714,2014 CF17
8068,644205 (2006 UV39),17:48:22.73,-29:57:52.7,-1.E3,-4.E3,3998.,22.6,13.83,-9.743,267.09470833333336,-29.96463888888889,22.6,644205,2006 UV39
8069,707229 (2011 CA14),17:48:28.88,-29:44:40.8,-1.E3,-3.E3,3218.,22.4,26.54,-5.263,267.12033333333335,-29.744666666666667,22.4,707229,2011 CA14
8070,749376 (2014 HQ212),17:48:20.59,-27:41:58.8,-1.E3,4.E3,4450.,22.4,14.72,2.075,267.08579166666664,-27.699666666666666,22.4,749376,2014 HQ212
8071,(2010 FA17),17:48:13.19,-29:45:42.0,-1.E3,-3.E3,3345.,23.5,13.81,-7.954,267.0549583333333,-29.761666666666667,23.5,,2010 FA17
8072,(2011 KE3),17:49:04.41,-29:54:14.7,-543.,-4.E3,3670.,24.6,156.4,32.06,267.268375,-29.904083333333332,24.6,,2011 KE3
8073,(2012 AD38),17:48:27.68,-27:41:45.9,-1.E3,4.E3,4440.,24.0,18.81,-4.169,267.1153333333333,-27.696083333333334,24.0,,2012 AD38
8074,(2012 QD84),17:48:24.14,-27:32:01.6,-1.E3,5.E3,5020.,23.7,38.71,-7.826,267.1005833333333,-27.53377777777778,23.7,,2012 QD84
8075,(2013 CD18),17:48:21.14,-29:44:59.4,-1.E3,-3.E3,3268.,22.6,15.8,-8.24,267.0880833333333,-29.749833333333335,22.6,,2013 CD18
8076,(2013 UP34),17:48:11.74,-30:34:00.7,-1.E3,-6.E3,6140.,23.7,8.649,-11.17,267.0489166666666,-30.566861111111113,23.7,,2013 UP34
8077,(2014 KG124),17:48:38.50,-30:46:37.4,-883.,-7.E3,6829.,22.1,35.65,-5.329,267.1604166666666,-30.777055555555556,22.1,,2014 KG124
8078,(2015 HE277),17:48:35.70,-27:42:07.7,-920.,4.E3,4395.,24.1,33.08,-1.575,267.14874999999995,-27.70213888888889,24.1,,2015 HE277
8079,(2016 GP311),17:48:23.68,-29:03:50.9,-1.E3,-607.,1236.,23.5,23.46,-10.2,267.09866666666665,-29.06413888888889,23.5,,2016 GP311
8080,(2017 PH28),17:48:14.37,-30:20:37.7,-1.E3,-5.E3,5348.,23.1,15.47,-3.086,267.059875,-30.343805555555555,23.1,,2017 PH28
8081,(2018 FB68),17:48:18.37,-28:27:04.9,-1.E3,2.E3,1970.,22.3,15.64,-6.155,267.0765416666667,-28.45136111111111,22.3,,2018 FB68
8082,(2019 SR213),17:48:11.17,-30:22:53.9,-1.E3,-5.E3,5490.,23.8,17.52,-8.629,267.04654166666666,-30.38163888888889,23.8,,2019 SR213
8083,(2020 WS16),17:50:06.49,-27:00:03.7,272.,7.E3,6826.,23.3,18.81,-11.7,267.5270416666666,-27.00102777777778,23.3,,2020 WS16
8084,(2021 EH20),17:48:20.72,-29:27:19.0,-1.E3,-2.E3,2302.,23.1,14.35,-1.559,267.0863333333333,-29.455277777777777,23.1,,2021 EH20
8085,(2021 HO38),17:48:14.26,-30:10:53.8,-1.E3,-5.E3,4781.,23.0,15.42,-1.244,267.0594166666666,-30.181611111111113,23.0,,2021 HO38
8086,(2023 RM22),17:48:12.97,-30:23:08.1,-1.E3,-5.E3,5499.,22.2,26.81,0.5664,267.05404166666665,-30.385583333333333,22.2,,2023 RM22
8087,(2023 RL44),17:48:20.05,-28:14:36.0,-1.E3,2.E3,2606.,23.6,11.51,-1.181,267.08354166666663,-28.243333333333336,23.6,,2023 RL44
8088,49062 (1998 RR47),17:48:27.23,-29:32:10.9,-1.E3,-2.E3,2525.,20.5,18.05,-5.087,267.1134583333333,-29.536361111111113,20.5,49062,1998 RR47
8089,82675 (2001 PT23),17:48:16.27,-29:03:13.1,-1.E3,-569.,1305.,19.9,14.78,-1.834,267.06779166666666,-29.05363888888889,19.9,82675,2001 PT23
8090,105334 (2000 QQ85),17:48:13.15,-29:23:47.3,-1.E3,-2.E3,2173.,21.2,14.04,-3.594,267.05479166666663,-29.396472222222222,21.2,105334,2000 QQ85
8091,152195 (2005 QV79),17:48:13.57,-30:27:47.6,-1.E3,-6.E3,5770.,21.0,20.51,-3.409,267.05654166666665,-30.46322222222222,21.0,152195,2005 QV79
8092,181761 (1996 VR2),17:48:18.04,-27:36:25.7,-1.E3,5.E3,4781.,20.5,23.11,-11.73,267.0751666666667,-27.60713888888889,20.5,181761,1996 VR2
8093,242261 (2003 SM312),17:48:19.81,-29:11:31.2,-1.E3,-1.E3,1552.,21.0,28.23,-13.46,267.08254166666666,-29.192,21.0,242261,2003 SM312
8094,248598 (2006 DG28),17:48:46.42,-28:09:00.9,-779.,3.E3,2795.,20.5,50.53,-11.54,267.1934166666667,-28.15025,20.5,248598,2006 DG28
8095,252927 (2002 NE62),17:48:35.58,-30:31:56.8,-922.,-6.E3,5963.,21.2,35.18,-6.437,267.14825,-30.532444444444444,21.2,252927,2002 NE62
8096,428875 (2008 UB229),17:48:15.96,-27:31:06.8,-1.E3,5.E3,5098.,22.1,16.06,-10.43,267.0665,-27.518555555555555,22.1,428875,2008 UB229
8097,441275 (2007 WF7),17:48:19.39,-27:56:02.1,-1.E3,3.E3,3645.,22.7,16.8,-6.763,267.08079166666664,-27.93391666666667,22.7,441275,2007 WF7
8098,443193 (2014 DA48),17:48:28.21,-30:00:14.3,-1.E3,-4.E3,4117.,22.1,21.76,-8.491,267.1175416666666,-30.003972222222224,22.1,443193,2014 DA48
