,Object name,Astrometric RA (hh:mm:ss),"Astrometric Dec (dd mm'ss"")","Dist. from center RA ("")","Dist. from center Dec ("")","Dist. from center Norm ("")",Visual magnitude (V),"RA rate (""/h)","Dec rate (""/h)",ra,dec,V_mag,name,id
0,620 Drakonia (A906 UO),17:49:08.50,-29:33:27.8,-489.,-2.E3,2433.,16.1,60.09,-5.175,267.2854166666666,-29.557722222222225,16.1,620 Drakonia,A906 UO
1,3446 Combes (1942 EB),17:50:52.95,-27:08:28.1,882.,6.E3,6379.,18.8,52.52,-5.352,267.720625,-27.14113888888889,18.8,3446 Combes,1942 EB
2,9652 (1996 AF2),17:48:17.38,-28:19:33.6,-1.E3,2.E3,2358.,18.1,68.16,-1.856,267.07241666666664,-28.326,18.1,9652,1996 AF2
3,12723 (1991 PD10),17:50:14.39,-29:38:34.9,376.,-3.E3,2717.,19.3,55.89,-2.928,267.55995833333327,-29.643027777777778,19.3,12723,1991 PD10
4,14501 Tetsuokojima (1995 WA8),17:48:41.41,-27:37:51.1,-845.,5.E3,4632.,20.5,54.71,-3.473,267.17254166666663,-27.630861111111113,20.5,14501 Tetsuokojima,1995 WA8
5,24109 (1999 VO20),17:48:39.96,-30:00:40.5,-864.,-4.E3,4107.,19.3,45.96,1.933,267.1665,-30.01125,19.3,24109,1999 VO20
6,30093 McClanahan (2000 ES135),17:50:12.33,-28:30:59.4,349.,1.E3,1409.,19.3,65.18,-10.36,267.55137499999995,-28.5165,19.3,30093 McClanahan,2000 ES135
7,34894 (2012 P-L),17:50:23.19,-30:22:47.7,492.,-5.E3,5366.,21.3,43.25,-4.006,267.59662499999996,-30.379916666666666,21.3,34894,2012 P-L
8,36752 (2000 RZ69),17:49:38.67,-29:10:06.8,-93.2,-983.,987.0,20.5,50.82,-5.641,267.41112499999997,-29.168555555555557,20.5,36752,2000 RZ69
9,37488 (3203 T-1),17:50:01.34,-27:36:44.5,205.,5.E3,4624.,21.0,57.34,-3.11,267.5055833333333,-27.612361111111113,21.0,37488,3203 T-1
10,41516 (2000 QN181),17:48:30.24,-28:45:46.8,-992.,477.,1101.,19.9,47.59,-8.774,267.12600000000003,-28.763,19.9,41516,2000 QN181
11,44636 (1999 RQ103),17:49:02.94,-27:24:47.6,-562.,5.E3,5367.,20.3,59.32,0.01595,267.26224999999994,-27.41322222222222,20.3,44636,1999 RQ103
12,45807 (2000 QY20),17:51:10.78,-28:44:40.0,1.E3,544.,1243.,20.6,60.14,-2.51,267.79491666666667,-28.744444444444447,20.6,45807,2000 QY20
13,47973 (2000 VL46),17:48:28.79,-27:52:25.7,-1.E3,4.E3,3816.,20.4,67.78,-1.73,267.11995833333333,-27.873805555555556,20.4,47973,2000 VL46
14,51474 (2001 FG55),17:49:43.10,-27:56:15.0,-34.9,3.E3,3449.,20.0,71.04,-3.087,267.4295833333333,-27.9375,20.0,51474,2001 FG55
15,52982 Marieclaire (1998 UY15),17:48:56.38,-27:28:11.6,-648.,5.E3,5174.,20.7,60.77,-5.041,267.23491666666666,-27.46988888888889,20.7,52982 Marieclaire,1998 UY15
16,54450 (2000 NT10),17:50:46.47,-30:26:45.5,797.,-6.E3,5637.,20.2,58.67,-5.201,267.69362499999994,-30.445972222222224,20.2,54450,2000 NT10
17,56576 (2000 JB25),17:49:36.58,-28:00:25.1,-121.,3.E3,3201.,20.4,65.22,-0.2676,267.4024166666666,-28.006972222222224,20.4,56576,2000 JB25
18,58327 (1994 SC9),17:50:38.83,-27:16:57.3,697.,6.E3,5849.,20.7,45.27,-2.869,267.66179166666666,-27.28258333333333,20.7,58327,1994 SC9
19,69210 (3356 T-2),17:50:26.24,-27:01:16.8,532.,7.E3,6769.,21.1,36.37,-2.349,267.6093333333333,-27.02133333333333,21.1,69210,3356 T-2
20,74309 (1998 TF32),17:49:45.02,-30:39:00.2,-9.69,-6.E3,6316.,20.5,55.46,-7.581,267.4375833333333,-30.650055555555554,20.5,74309,1998 TF32
21,75532 (1999 XN220),17:50:18.25,-29:14:15.0,427.,-1.E3,1302.,21.5,54.72,-2.899,267.57604166666664,-29.2375,21.5,75532,1999 XN220
22,80152 (1999 TF195),17:49:58.41,-26:58:23.8,166.,7.E3,6922.,21.2,59.4,-3.944,267.49337499999996,-26.973277777777778,21.2,80152,1999 TF195
23,82387 (2001 MW24),17:51:04.38,-30:13:31.3,1.E3,-5.E3,4896.,20.3,47.26,-0.09609,267.76825,-30.22536111111111,20.3,82387,2001 MW24
24,82964 (2001 QL131),17:51:05.66,-29:28:29.3,1.E3,-2.E3,2333.,20.6,44.05,-0.7417,267.7735833333333,-29.474805555555555,20.6,82964,2001 QL131
25,85194 (1991 TL2),17:49:25.24,-29:31:55.5,-269.,-2.E3,2307.,19.6,63.52,4.896,267.35516666666666,-29.532083333333333,19.6,85194,1991 TL2
26,89887 (2002 CD238),17:51:05.16,-28:01:48.0,1.E3,3.E3,3287.,20.8,45.65,-0.5269,267.7715,-28.029999999999998,20.8,89887,2002 CD238
27,97181 (1999 VV228),17:49:56.12,-29:30:35.0,136.,-2.E3,2215.,21.2,49.79,-0.7146,267.4838333333333,-29.509722222222223,21.2,97181,1999 VV228
28,98120 (2000 SK5),17:50:15.15,-28:14:58.0,386.,2.E3,2358.,20.9,63.82,-4.842,267.56312499999996,-28.249444444444446,20.9,98120,2000 SK5
29,102111 (1999 RQ167),17:49:19.36,-27:19:01.5,-347.,6.E3,5693.,20.9,47.06,-3.682,267.3306666666666,-27.317083333333333,20.9,102111,1999 RQ167
30,102123 (1999 RP175),17:49:35.45,-28:27:34.6,-135.,2.E3,1576.,20.6,46.79,-2.426,267.3977083333333,-28.459611111111112,20.6,102123,1999 RP175
31,110072 (2001 SB112),17:48:55.71,-29:13:01.0,-657.,-1.E3,1330.,21.1,41.51,-2.805,267.23212499999994,-29.216944444444444,21.1,110072,2001 SB112
32,115417 (2003 SR299),17:51:01.11,-27:28:42.1,990.,5.E3,5199.,21.0,51.39,3.456,267.754625,-27.47836111111111,21.0,115417,2003 SR299
33,121410 (1999 TH141),17:49:56.75,-27:40:34.1,144.,4.E3,4393.,22.0,40.82,-3.618,267.4864583333333,-27.67613888888889,22.0,121410,1999 TH141
34,126937 (2002 EZ152),17:49:34.64,-28:36:20.1,-146.,1.E3,1054.,20.8,46.86,1.503,267.3943333333333,-28.605583333333335,20.8,126937,2002 EZ152
35,127805 (2003 FE81),17:49:20.53,-27:39:12.9,-331.,4.E3,4484.,20.3,63.79,-10.07,267.33554166666664,-27.653583333333334,20.3,127805,2003 FE81
36,128549 (2004 PZ72),17:50:47.12,-28:34:33.0,806.,1.E3,1406.,21.0,56.63,-2.323,267.69633333333326,-28.575833333333332,21.0,128549,2004 PZ72
37,131566 (2001 VM52),17:50:46.56,-28:29:50.6,798.,1.E3,1642.,21.7,58.68,-5.747,267.69399999999996,-28.49738888888889,21.7,131566,2001 VM52
38,134626 (1999 TM274),17:48:36.47,-28:24:21.8,-910.,2.E3,1984.,21.5,57.07,-1.752,267.1519583333333,-28.406055555555554,21.5,134626,1999 TM274
39,135111 (2001 QV112),17:48:49.95,-28:09:34.9,-733.,3.E3,2750.,20.4,42.69,0.8746,267.20812499999994,-28.159694444444444,20.4,135111,2001 QV112
40,139415 (2001 OH18),17:49:40.81,-29:00:55.8,-65.0,-432.,436.5,20.6,50.6,2.137,267.42004166666663,-29.0155,20.6,139415,2001 OH18
41,141321 (2001 YL130),17:49:46.66,-27:44:23.4,11.8,4.E3,4161.,22.4,35.72,-2.291,267.4444166666666,-27.739833333333333,22.4,141321,2001 YL130
42,141908 (2002 PC77),17:51:02.41,-28:20:12.3,1.E3,2.E3,2251.,21.4,69.4,-4.517,267.76004166666667,-28.33675,21.4,141908,2002 PC77
43,146728 (2001 XU36),17:48:19.38,-28:45:02.5,-1.E3,522.,1249.,22.0,40.01,-5.236,267.08075,-28.750694444444445,22.0,146728,2001 XU36
44,146767 (2001 XC202),17:50:19.33,-27:32:26.1,441.,5.E3,4898.,21.4,39.39,-11.82,267.5805416666666,-27.540583333333334,21.4,146767,2001 XC202
45,148315 (2000 PU6),17:49:27.36,-30:13:00.5,-242.,-5.E3,4762.,20.8,68.96,7.871,267.364,-30.216805555555553,20.8,148315,2000 PU6
46,148536 (2001 QG83),17:49:26.96,-30:13:23.5,-247.,-5.E3,4786.,21.5,54.94,-2.433,267.3623333333333,-30.22319444444444,21.5,148536,2001 QG83
47,153674 (2001 TE190),17:49:07.31,-27:57:52.0,-505.,3.E3,3390.,21.6,59.64,-5.387,267.28045833333334,-27.964444444444442,21.6,153674,2001 TE190
48,163621 (2002 TP294),17:49:01.34,-29:33:34.3,-583.,-2.E3,2460.,20.7,38.76,-0.73,267.2555833333333,-29.559527777777777,20.7,163621,2002 TP294
49,171747 (2000 XU30),17:48:55.15,-28:19:47.6,-665.,2.E3,2143.,22.0,50.5,-3.591,267.22979166666664,-28.32988888888889,22.0,171747,2000 XU30
50,171913 (2001 SA74),17:51:09.88,-27:21:54.8,1.E3,6.E3,5621.,21.5,40.39,0.2623,267.7911666666667,-27.365222222222222,21.5,171913,2001 SA74
51,174022 (2001 YP124),17:48:54.30,-27:25:48.7,-676.,5.E3,5319.,22.8,34.18,-0.5627,267.22625,-27.430194444444446,22.8,174022,2001 YP124
52,175059 (2004 FV149),17:48:58.67,-30:05:11.4,-618.,-4.E3,4331.,21.2,52.0,1.091,267.2444583333333,-30.086499999999997,21.2,175059,2004 FV149
53,175428 (2006 QW8),17:51:00.41,-30:32:09.8,980.,-6.E3,5985.,21.5,44.61,-2.718,267.75170833333334,-30.536055555555556,21.5,175428,2006 QW8
54,179816 (2002 TF86),17:50:54.46,-27:54:48.2,902.,4.E3,3650.,21.3,68.57,-3.605,267.7269166666666,-27.91338888888889,21.3,179816,2002 TF86
55,180087 (2003 EL8),17:49:11.52,-28:30:58.8,-450.,1.E3,1438.,20.8,54.12,0.2754,267.29799999999994,-28.516333333333332,20.8,180087,2003 EL8
56,184609 (2005 QJ182),17:50:54.05,-27:36:54.0,897.,5.E3,4698.,21.7,52.45,-2.275,267.7252083333333,-27.615000000000002,21.7,184609,2005 QJ182
57,191886 (2004 XR161),17:50:33.88,-30:29:57.4,632.,-6.E3,5807.,21.3,43.08,1.009,267.6411666666666,-30.499277777777777,21.3,191886,2004 XR161
58,201321 (2002 TY122),17:49:54.17,-28:02:23.9,110.,3.E3,3082.,20.8,47.82,1.344,267.4757083333333,-28.039972222222225,20.8,201321,2002 TY122
59,201696 (2003 UT131),17:50:33.09,-30:42:53.6,622.,-7.E3,6578.,21.8,38.99,-5.045,267.63787499999995,-30.71488888888889,21.8,201696,2003 UT131
60,204266 (2004 FC33),17:49:11.52,-29:13:34.5,-450.,-1.E3,1272.,20.5,60.15,-2.076,267.29799999999994,-29.226249999999997,20.5,204266,2004 FC33
61,207617 (2006 RJ43),17:49:05.21,-27:12:59.7,-533.,6.E3,6068.,21.6,46.29,-3.358,267.27170833333327,-27.216583333333332,21.6,207617,2006 RJ43
62,216927 (1998 QQ89),17:51:07.93,-27:44:17.7,1.E3,4.E3,4305.,21.6,60.15,1.19,267.7830416666667,-27.73825,21.6,216927,1998 QQ89
63,219438 (2000 UM64),17:49:11.06,-27:45:52.2,-456.,4.E3,4098.,22.4,43.06,-1.516,267.2960833333333,-27.7645,22.4,219438,2000 UM64
64,220673 (2004 RQ208),17:49:50.88,-30:12:35.0,67.2,-5.E3,4731.,20.5,58.72,3.316,267.462,-30.209722222222222,20.5,220673,2004 RQ208
65,229910 (6798 P-L),17:51:15.53,-28:25:12.7,1.E3,2.E3,2080.,22.1,54.79,-4.492,267.81470833333333,-28.420194444444444,22.1,229910,6798 P-L
66,237418 (1998 UQ47),17:49:53.64,-30:26:42.4,103.,-6.E3,5579.,22.1,52.0,-9.834,267.4735,-30.44511111111111,22.1,237418,1998 UQ47
67,238749 (2005 GZ171),17:49:42.90,-30:03:19.2,-37.6,-4.E3,4175.,21.8,44.12,-6.122,267.42875,-30.055333333333333,21.8,238749,2005 GZ171
68,244929 (2003 XB20),17:48:48.80,-30:04:32.8,-748.,-4.E3,4313.,21.9,38.03,-1.192,267.2033333333333,-30.075777777777777,21.9,244929,2003 XB20
69,247886 (2003 UR191),17:49:12.74,-27:44:43.5,-434.,4.E3,4164.,22.2,55.98,0.007589,267.30308333333335,-27.745416666666667,22.2,247886,2003 UR191
70,248010 (2004 EZ56),17:50:40.57,-30:08:45.3,720.,-5.E3,4558.,21.3,49.51,-5.103,267.6690416666666,-30.145916666666665,21.3,248010,2004 EZ56
71,252379 (2001 SY306),17:50:08.45,-28:33:15.9,298.,1.E3,1264.,22.1,43.21,-0.1179,267.5352083333333,-28.55441666666667,22.1,252379,2001 SY306
72,253732 (2003 WW21),17:49:09.52,-28:07:46.7,-476.,3.E3,2799.,22.3,42.68,-12.69,267.2896666666667,-28.129638888888888,22.3,253732,2003 WW21
73,254898 (2005 SX72),17:48:35.19,-28:55:56.8,-927.,-133.,936.0,22.4,35.94,-5.036,267.146625,-28.932444444444446,22.4,254898,2005 SX72
74,257476 (1995 FE3),17:49:00.09,-27:11:41.9,-600.,6.E3,6152.,22.6,46.75,-3.73,267.25037499999996,-27.194972222222223,22.6,257476,1995 FE3
75,258945 (2002 RF206),17:49:40.69,-27:44:28.1,-66.5,4.E3,4157.,22.3,50.96,-2.167,267.41954166666665,-27.74113888888889,22.3,258945,2002 RF206
76,265927 (2006 BG157),17:48:25.16,-30:08:28.5,-1.E3,-4.E3,4606.,22.6,38.45,-3.774,267.1048333333333,-30.14125,22.6,265927,2006 BG157
77,266672 (2008 YD168),17:50:17.91,-29:45:30.9,422.,-3.E3,3135.,21.7,48.25,-9.29,267.57462499999997,-29.758583333333334,21.7,266672,2008 YD168
78,268275 (2005 PP7),17:50:30.54,-30:13:59.7,588.,-5.E3,4851.,22.2,56.46,-3.249,267.62724999999995,-30.233249999999998,22.2,268275,2005 PP7
79,276539 (2003 SF78),17:50:47.30,-28:31:10.3,808.,1.E3,1578.,23.6,50.01,-1.917,267.6970833333333,-28.51952777777778,23.6,276539,2003 SF78
80,280549 (2004 RJ203),17:50:51.69,-28:25:40.5,866.,2.E3,1894.,21.7,66.73,-3.575,267.71537499999994,-28.42791666666667,21.7,280549,2004 RJ203
81,287085 (2002 RN69),17:48:52.35,-27:29:37.5,-701.,5.E3,5096.,23.0,45.21,-2.891,267.218125,-27.493750000000002,23.0,287085,2002 RN69
82,287204 (2002 SW34),17:48:57.17,-28:49:04.8,-638.,279.,696.8,21.9,51.6,-6.942,267.2382083333333,-28.818,21.9,287204,2002 SW34
83,291694 (2006 HF110),17:49:22.54,-29:42:08.7,-305.,-3.E3,2920.,20.4,69.65,14.97,267.34391666666664,-29.702416666666664,20.4,291694,2006 HF110
84,293682 (2007 PH33),17:50:28.44,-28:21:35.7,561.,2.E3,2009.,21.5,72.56,-1.07,267.6184999999999,-28.359916666666667,21.5,293682,2007 PH33
85,296043 (2009 AW11),17:50:53.05,-27:43:38.2,884.,4.E3,4299.,21.4,65.41,0.02994,267.7210416666666,-27.727277777777775,21.4,296043,2009 AW11
86,297455 (2000 SZ267),17:48:21.25,-29:55:47.6,-1.E3,-4.E3,3884.,22.3,38.96,-2.37,267.08854166666663,-29.92988888888889,22.3,297455,2000 SZ267
87,298466 (2003 UQ158),17:50:17.97,-29:43:32.0,423.,-3.E3,3017.,22.6,43.14,-7.77,267.5748749999999,-29.725555555555555,22.6,298466,2003 UQ158
88,299251 (2005 MN50),17:50:34.90,-28:06:27.5,645.,3.E3,2910.,21.7,50.03,0.8488,267.6454166666666,-28.10763888888889,21.7,299251,2005 MN50
89,300362 (2007 RX89),17:49:58.95,-27:02:36.5,173.,7.E3,6670.,23.3,41.08,-2.222,267.49562499999996,-27.043472222222224,23.3,300362,2007 RX89
90,300907 (2008 BJ42),17:48:19.28,-29:30:56.9,-1.E3,-2.E3,2503.,21.6,40.06,-4.611,267.08033333333333,-29.515805555555556,21.6,300907,2008 BJ42
91,303797 (2005 SL29),17:50:24.53,-27:18:15.9,509.,6.E3,5751.,22.4,39.33,-1.549,267.6022083333333,-27.30441666666667,22.4,303797,2005 SL29
92,306823 (2001 QQ330),17:49:01.13,-27:19:25.3,-586.,6.E3,5690.,23.3,59.73,-3.75,267.2547083333333,-27.323694444444445,23.3,306823,2001 QQ330
93,309928 (2009 FL42),17:50:42.36,-30:32:48.9,743.,-6.E3,5990.,21.7,49.98,-9.238,267.6765,-30.546916666666668,21.7,309928,2009 FL42
94,310805 (2002 TE271),17:48:38.50,-27:36:49.6,-883.,5.E3,4699.,21.9,60.57,-2.171,267.1604166666666,-27.61377777777778,21.9,310805,2002 TE271
95,311641 (2006 RZ1),17:48:27.04,-28:12:20.1,-1.E3,2.E3,2692.,22.8,45.42,1.091,267.11266666666666,-28.205583333333333,22.8,311641,2006 RZ1
96,316870 (2000 QE174),17:49:16.12,-27:19:18.4,-389.,6.E3,5679.,22.8,55.39,-0.7947,267.3171666666666,-27.32177777777778,22.8,316870,2000 QE174
97,321443 (2009 QO56),17:50:32.75,-29:20:06.0,617.,-2.E3,1697.,21.3,58.64,-4.965,267.6364583333333,-29.334999999999997,21.3,321443,2009 QO56
98,322853 (2001 UG41),17:49:54.72,-29:48:55.8,118.,-3.E3,3314.,22.7,39.52,-7.493,267.47799999999995,-29.8155,22.7,322853,2001 UG41
99,324715 (2007 EG134),17:49:08.66,-28:37:54.3,-487.,950.,1068.,22.7,41.06,-3.595,267.2860833333333,-28.63175,22.7,324715,2007 EG134
100,324899 (2007 VU126),17:50:20.23,-28:13:21.7,453.,2.E3,2465.,22.8,49.62,-7.221,267.5842916666666,-28.222694444444443,22.8,324899,2007 VU126
101,325772 (2010 NH10),17:49:52.95,-27:00:55.8,94.5,7.E3,6769.,22.7,42.24,-4.811,267.470625,-27.0155,22.7,325772,2010 NH10
102,326894 (2003 WV25),17:49:37.09,-29:20:20.7,-114.,-2.E3,1601.,21.5,52.99,8.919,267.4045416666666,-29.33908333333333,21.5,326894,2003 WV25
103,328149 (2008 CY42),17:50:53.62,-28:29:28.8,891.,1.E3,1707.,22.7,59.4,-4.398,267.7234166666666,-28.491333333333333,22.7,328149,2008 CY42
104,336463 (2008 UT368),17:48:54.14,-28:02:19.2,-678.,3.E3,3159.,22.4,38.16,1.116,267.2255833333333,-28.038666666666668,22.4,336463,2008 UT368
105,340672 (2006 RJ42),17:48:31.32,-27:26:45.2,-978.,5.E3,5311.,22.2,41.09,-3.17,267.1305,-27.445888888888888,22.2,340672,2006 RJ42
106,341701 (2007 VO161),17:50:13.93,-27:21:19.3,370.,6.E3,5557.,22.4,42.87,-3.376,267.5580416666666,-27.35536111111111,22.4,341701,2007 VO161
107,342145 (2008 SQ131),17:49:15.44,-27:58:19.2,-398.,3.E3,3349.,22.3,55.09,-4.419,267.3143333333333,-27.971999999999998,22.3,342145,2008 SQ131
108,345093 (2005 MO29),17:49:59.08,-27:50:33.2,175.,4.E3,3795.,21.4,46.37,2.521,267.4961666666666,-27.842555555555553,21.4,345093,2005 MO29
109,345636 (2006 SJ349),17:50:32.06,-29:26:37.3,608.,-2.E3,2064.,22.8,33.37,-4.902,267.63358333333326,-29.443694444444446,22.8,345636,2006 SJ349
110,347668 (2001 UR8),17:50:45.94,-27:00:49.2,790.,7.E3,6822.,22.4,35.09,-4.341,267.6914166666666,-27.013666666666666,22.4,347668,2001 UR8
111,348609 (2005 XL111),17:48:49.06,-27:35:27.5,-745.,5.E3,4756.,21.9,58.65,-2.651,267.20441666666665,-27.59097222222222,21.9,348609,2005 XL111
112,348920 (2006 TW25),17:51:13.26,-30:03:16.5,1.E3,-4.E3,4326.,23.1,32.09,-4.572,267.80525,-30.054583333333333,23.1,348920,2006 TW25
113,350508 (1999 XT226),17:50:34.85,-27:11:55.0,645.,6.E3,6144.,22.7,57.18,0.2459,267.6452083333333,-27.198611111111113,22.7,350508,1999 XT226
114,351356 (2005 BJ23),17:48:11.89,-28:24:34.7,-1.E3,2.E3,2142.,22.6,54.04,-2.731,267.04954166666664,-28.40963888888889,22.6,351356,2005 BJ23
115,351403 (2005 ES253),17:50:17.97,-29:55:01.7,423.,-4.E3,3702.,22.2,53.77,-2.783,267.5748749999999,-29.91713888888889,22.2,351403,2005 ES253
116,352618 (2008 FQ1),17:49:56.18,-27:30:12.1,137.,5.E3,5014.,22.0,42.78,-1.271,267.48408333333333,-27.50336111111111,22.0,352618,2008 FQ1
117,353244 (2010 CF146),17:49:40.62,-27:58:37.0,-67.5,3.E3,3308.,22.1,74.64,-2.37,267.41925,-27.97694444444444,22.1,353244,2010 CF146
118,356495 (2011 SE22),17:49:15.89,-27:48:43.0,-392.,4.E3,3921.,23.1,39.45,0.3677,267.3162083333333,-27.811944444444446,23.1,356495,2011 SE22
119,357259 (2002 QX51),17:49:58.22,-30:13:10.0,164.,-5.E3,4768.,22.9,44.1,-3.353,267.4925833333333,-30.21944444444444,22.9,357259,2002 QX51
120,359666 (2011 SN91),17:50:17.59,-28:23:52.8,418.,2.E3,1840.,22.4,48.22,-3.172,267.57329166666665,-28.398,22.4,359666,2011 SN91
121,367722 (2010 TY187),17:50:14.50,-29:20:03.6,377.,-2.E3,1624.,22.4,71.61,-2.504,267.56041666666664,-29.334333333333333,22.4,367722,2010 TY187
122,369959 (1994 RW8),17:48:31.84,-30:24:47.2,-971.,-5.E3,5547.,22.2,48.51,-4.35,267.13266666666664,-30.41311111111111,22.2,369959,1994 RW8
123,373398 (1995 SY9),17:50:23.92,-28:13:18.8,501.,2.E3,2477.,23.3,61.36,-3.843,267.5996666666666,-28.221888888888888,23.3,373398,1995 SY9
124,373867 (2003 SG33),17:48:24.65,-28:12:06.2,-1.E3,2.E3,2717.,22.8,44.42,-3.793,267.10270833333334,-28.201722222222223,22.8,373867,2003 SG33
125,380413 (2003 AS76),17:48:23.61,-30:40:54.0,-1.E3,-6.E3,6518.,22.7,33.33,-5.121,267.098375,-30.68166666666667,22.7,380413,2003 AS76
126,380425 (2003 FQ76),17:50:51.88,-29:10:51.7,868.,-1.E3,1345.,22.1,58.6,-3.121,267.71616666666665,-29.18102777777778,22.1,380425,2003 FQ76
127,383016 (2005 ME39),17:48:24.01,-27:05:06.1,-1.E3,7.E3,6607.,22.2,70.01,-0.944,267.10004166666664,-27.08502777777778,22.2,383016,2005 ME39
128,393000 (2012 XK120),17:49:50.48,-27:36:44.3,62.0,5.E3,4620.,22.7,48.36,-2.034,267.4603333333333,-27.612305555555558,22.7,393000,2012 XK120
129,396011 (2013 BZ66),17:48:48.00,-30:24:22.3,-759.,-5.E3,5490.,22.7,51.32,-6.868,267.19999999999993,-30.40619444444444,22.7,396011,2013 BZ66
130,398987 (2013 ES92),17:50:44.91,-28:18:09.7,777.,2.E3,2272.,21.2,62.16,4.383,267.6871249999999,-28.302694444444445,21.2,398987,2013 ES92
131,401397 (2013 CR49),17:51:15.37,-26:58:36.6,1.E3,7.E3,7009.,23.3,45.21,-2.379,267.81404166666664,-26.97683333333333,23.3,401397,2013 CR49
132,403661 (2010 TL105),17:50:27.27,-28:15:17.0,545.,2.E3,2371.,22.8,49.78,-2.971,267.61362499999996,-28.254722222222224,22.8,403661,2010 TL105
133,408105 (2013 AU133),17:49:18.50,-27:33:53.3,-358.,5.E3,4804.,23.4,68.02,-0.06459,267.3270833333333,-27.564805555555555,23.4,408105,2013 AU133
134,408284 (2013 GG9),17:49:33.70,-29:04:37.3,-158.,-653.,672.0,21.8,66.14,-5.534,267.3904166666666,-29.07702777777778,21.8,408284,2013 GG9
135,409283 (2004 RT225),17:51:13.09,-28:09:12.2,1.E3,3.E3,2909.,22.7,70.61,-4.961,267.80454166666664,-28.153388888888887,22.7,409283,2004 RT225
136,414051 (2007 RC213),17:49:06.18,-28:58:28.8,-520.,-285.,592.4,23.0,56.22,-3.217,267.27574999999996,-28.974666666666664,23.0,414051,2007 RC213
137,419793 (2010 VD217),17:49:47.04,-29:10:09.9,16.8,-986.,985.8,22.8,55.62,-3.648,267.44599999999997,-29.169416666666667,22.8,419793,2010 VD217
138,423869 (2006 RY31),17:48:43.04,-28:19:17.5,-824.,2.E3,2226.,23.7,48.74,-3.988,267.1793333333333,-28.321527777777778,23.7,423869,2006 RY31
139,427559 (2002 UG73),17:50:01.61,-29:14:12.2,208.,-1.E3,1245.,22.9,45.61,-6.306,267.5067083333333,-29.236722222222223,22.9,427559,2002 UG73
140,430123 (2013 TN28),17:49:01.24,-26:59:40.1,-585.,7.E3,6869.,22.9,52.84,-5.223,267.25516666666664,-26.994472222222225,22.9,430123,2013 TN28
141,433708 (2014 XV20),17:48:11.71,-28:50:43.0,-1.E3,181.,1249.,22.6,37.14,-3.401,267.04879166666666,-28.845277777777778,22.6,433708,2014 XV20
142,435555 (2008 QF38),17:50:01.50,-28:10:46.7,207.,3.E3,2586.,22.6,63.68,-4.809,267.50624999999997,-28.17963888888889,22.6,435555,2008 QF38
143,438094 (2004 XP102),17:51:16.01,-29:09:35.2,1.E3,-951.,1518.,22.7,45.81,-1.829,267.81670833333334,-29.159777777777776,22.7,438094,2004 XP102
144,450373 (2005 GL60),17:50:26.80,-27:56:54.2,539.,3.E3,3453.,21.6,68.1,-12.69,267.6116666666666,-27.94838888888889,21.6,450373,2005 GL60
145,455241 (2001 SY212),17:49:28.72,-27:49:12.6,-224.,4.E3,3878.,23.5,45.43,-3.743,267.36966666666666,-27.820166666666665,23.5,455241,2001 SY212
146,455865 (2005 UQ71),17:49:24.81,-30:32:37.9,-275.,-6.E3,5940.,22.3,53.99,-3.443,267.35337499999997,-30.543861111111113,22.3,455865,2005 UQ71
147,456108 (2006 BY274),17:48:31.24,-28:30:13.8,-979.,1.E3,1718.,23.5,61.43,-2.421,267.13016666666664,-28.503833333333333,23.5,456108,2006 BY274
148,460931 (2014 WA232),17:48:16.37,-30:06:06.9,-1.E3,-4.E3,4497.,22.3,44.35,-9.235,267.0682083333333,-30.101916666666668,22.3,460931,2014 WA232
149,462224 (2007 XL24),17:49:38.60,-30:31:02.1,-94.1,-6.E3,5839.,22.4,65.43,7.894,267.4108333333333,-30.51725,22.4,462224,2007 XL24
150,466658 (2014 WJ96),17:50:10.28,-28:11:32.5,322.,3.E3,2552.,22.8,40.3,-5.235,267.5428333333333,-28.19236111111111,22.8,466658,2014 WJ96
151,468970 (2015 AM67),17:48:40.07,-27:41:20.1,-863.,4.E3,4430.,21.9,50.87,1.891,267.16695833333335,-27.688916666666668,21.9,468970,2015 AM67
152,469150 (2015 FD343),17:48:39.05,-27:23:06.4,-876.,5.E3,5509.,21.7,45.54,-6.104,267.1627083333333,-27.38511111111111,21.7,469150,2015 FD343
153,471002 (2009 SN170),17:50:36.81,-28:50:47.1,670.,177.,693.6,23.0,50.5,-0.7828,267.6533749999999,-28.846416666666666,23.0,471002,2009 SN170
154,485808 (2012 DR42),17:50:26.06,-30:02:28.4,529.,-4.E3,4158.,22.5,51.9,-3.601,267.6085833333333,-30.041222222222224,22.5,485808,2012 DR42
155,489355 (2006 UD88),17:50:34.37,-29:48:11.6,638.,-3.E3,3329.,23.9,35.63,-4.851,267.64320833333323,-29.803222222222225,23.9,489355,2006 UD88
156,489368 (2006 UT191),17:50:18.15,-30:00:48.9,425.,-4.E3,4047.,22.0,46.75,-3.262,267.57562499999995,-30.013583333333333,22.0,489368,2006 UT191
157,490335 (2009 CN25),17:48:59.37,-30:43:28.3,-609.,-7.E3,6612.,23.9,35.32,-3.365,267.247375,-30.724527777777777,23.9,490335,2009 CN25
158,491455 (2012 FC79),17:50:45.10,-30:02:03.5,779.,-4.E3,4172.,23.3,45.16,-2.816,267.6879166666666,-30.03430555555556,23.3,491455,2012 FC79
